Ano;Mes;MDQI
2008;01;0,07877279183730779
2008;02;0,041196006945699894
2008;03;0,05672513485118629
2008;04;0,0354870429032138
2008;05;0,02659501985922046
2008;06;0,02219292199783585
2008;07;0,019034164489548266
2008;08;0,021798995073875255
2008;09;0,029700570511240372
2008;10;0,03286199160136498
2008;11;0,046775667180519225
2008;12;0,11763562232117908
2009;01;0,17989849859237472
2009;02;0,0826105913018585
2009;03;0,07825469755352144
2009;04;0,031153409924753503
2009;05;0,016928517250337737
2009;06;0,021619125085284404
2009;07;0,016426443859817987
2009;08;0,018787321217268407
2009;09;0,027139825944198965
2009;10;0,036873539694843034
2009;11;0,05824122209427008
2009;12;0,08503372184606033
2010;01;0,1929989151693872
2010;02;0,04172471707011889
2010;03;0,04103696090926703
2010;04;0,03794266640013375
2010;05;0,030674434151964657
2010;06;0,028298329427318074
2010;07;0,01942991383821276
2010;08;0,019873229856269634
2010;09;0,028710331257074666
2010;10;0,035294320336926505
2010;11;0,04863962951925557
2010;12;0,08410589734128675
2011;01;0,07457305514481768
2011;02;0,0438133216406911
2011;03;0,04286981807150885
2011;04;0,029872212390755236
2011;05;0,023449799326908143
2011;06;0,02164788365920252
2011;07;0,02251113521933719
2011;08;0,017893988605520307
2011;09;0,018942278251364242
2011;10;0,02952581702615972
2011;11;0,02829581024164969
2011;12;0,05888355097792009
2012;01;0,09977458769058661
2012;02;0,08102158358354623
2012;03;0,034536136604947
2012;04;0,02929666277904708
2012;05;0,021486649347829758
2012;06;0,019084160014585728
2012;07;0,017653267335185324
2012;08;0,01929163472643196
2012;09;0,02143867883070541
2012;10;0,05028991190211729
2012;11;0,05305395819766521
2012;12;0,047071380643768757
2013;01;0,08103274137629486
2013;02;0,054863681030886687
2013;03;0,05551134659159174
2013;04;0,03357692274674427
2013;05;0,038387444511816145
2013;06;0,02103350895072289
2013;07;0,018267539515791773
2013;08;0,020289026536020178
2013;09;0,022982387775132892
2013;10;0,02684270379412603
2013;11;0,04991699462069546
2013;12;0,07720460114237544
2014;01;0,07742631354722083
2014;02;0,04206312633992792
2014;03;0,07007692438850893
2014;04;0,026489942470588376
2014;05;0,023825392552852653
2014;06;0,019706317116113915
2014;07;0,019121825821112767
2014;08;0,019541296691045096
2014;09;0,025462600159347436
2014;10;0,026277620267272168
2014;11;0,0826322536706528
2014;12;0,08085287418991276
2015;01;0,07443267932154689
2015;02;0,05825086157463835
2015;03;0,04335475677968694
2015;04;0,03351064210312452
2015;05;0,03481523165160852
2015;06;0,022616063431562156
2015;07;0,01680866843035708
2015;08;0,021314318454633434
2015;09;0,027516344558375004
2015;10;0,04106097913499099
2015;11;0,055414041705859673
2015;12;0,07182115592970384
2016;01;0,06493808232947336
2016;02;0,036316559098478224
2016;03;0,049926354986943214
2016;04;0,05835830546388377
2016;05;0,022792826429989876
2016;06;0,020516641546348725
2016;07;0,01827208898411915
2016;08;0,018838210976569483
2016;09;0,02217871133790936
2016;10;0,03642689069672892
2016;11;0,04537882727154921
2016;12;0,06428448197320648
2017;01;0,1343122869390026
2017;02;0,03870857074705542
2017;03;0,03587016929046374
2017;04;0,035519056489851514
2017;05;0,022377553928111832
2017;06;0,016911492678316445
2017;07;0,01804257819715173
2017;08;0,019434423745945978
2017;09;0,026638446677270753
2017;10;0,04746032557023926
2017;11;0,049192394041926595
2017;12;0,05604570637201304
