Ano;Mes;MDQI
2008;01;4,589897628602522e-06
2008;02;0,00016942223178156225
2008;03;2,107013391467386e-06
2008;04;2,5668598228683376e-06
2008;05;3,40449005884467e-06
2008;06;2,681451779246388e-06
2008;07;2,5284160697608626e-06
2008;08;2,428610172270302e-06
2008;09;3,884667321215922e-06
2008;10;0,0011450397932767022
2008;11;3,540891452081769e-06
2008;12;4,103131341278592e-06
2009;01;0,0004518102083956011
2009;02;2,406431083939066e-06
2009;03;6,221234276911597e-06
2009;04;2,440808670852482e-06
2009;05;2,3842519956078315e-06
2009;06;2,3147575188366256e-06
2009;07;2,151371568129857e-06
2009;08;2,861102394729397e-06
2009;09;0,0034408412149680924
2009;10;4,014414987953651e-06
2009;11;2,475186257765897e-06
2009;12;9,703351144915591e-06
2010;01;0,0004522537901622258
2010;02;4,370864621848508e-06
2010;03;4,657608549559484e-06
2010;04;0,00019862223799007542
2010;05;0,0018057881032967084
2010;06;2,4178902795768715e-06
2010;07;2,08483430313615e-06
2010;08;0,0014557133730764853
2010;09;2,3949718883012617e-06
2010;10;3,703907751316351e-06
2010;11;3,838830538664701e-06
2010;12;0,00010017185244802577
2011;01;0,00045203199927891345
2011;02;0,001559158621329112
2011;03;5,4560557294839675e-06
2011;04;0,002985487157908632
2011;05;2,861102394729398e-06
2011;06;2,7731253443488287e-06
2011;07;2,6836696880795127e-06
2011;08;2,8943710272262504e-06
2011;09;0,00011836203174288865
2011;10;0,0006015523232639386
2011;11;6,038996101123276e-06
2011;12;3,936788178794325e-06
2012;01;0,0006282892142472432
2012;02;0,0006368270160605447
2012;03;2,8611023947293975e-06
2012;04;2,3949718883012617e-06
2012;05;2,373162451442213e-06
2012;06;1,7647161282219822e-06
2012;07;7,252561884314053e-06
2012;08;1,8175762887447606e-05
2012;09;2,521023040317117e-06
2012;10;0,00027046289265525306
2012;11;0,0006951606441718073
2012;12;3,1937887196979315e-06
2013;01;0,00045055708990488625
2013;02;0,0002660211341617742
2013;03;2,4175206281046844e-06
2013;04;2,8075029312622447e-06
2013;05;2,073744758970532e-06
2013;06;1,4209402590878297e-06
2013;07;2,1070133914673855e-06
2013;08;2,4840578930983915e-06
2013;09;2,5897782141439475e-06
2013;10;6,143607467752272e-06
2013;11;2,5783190185061425e-06
2013;12;4,003325443788032e-06
2014;01;0,00045240904378054443
2014;02;2,3695979551032644e-06
2014;03;2,772386041404455e-06
2014;04;2,2345431493719903e-06
2014;05;0,0005757802226230427
2014;06;2,383512692663456e-06
2014;07;2,7058487764107478e-06
2014;08;2,761296497238837e-06
2014;09;3,747156973562261e-06
2014;10;0,001113734010097163
2014;11;4,881617341704963e-06
2014;12;0,0002889269836910067
2015;01;0,00045191001429309164
2015;02;3,2658707567744475e-06
2015;03;5,849734547363399e-05
2015;04;2,990850061467125e-06
2015;05;0,0008090709632351448
2015;06;1,0783103095174579e-05
2015;07;2,217908833123564e-06
2015;08;2,8389233063981615e-06
2015;09;0,00018649840900527762
2015;10;0,0017326525595244592
2015;11;3,254411561136642e-06
2015;12;4,491265387075216e-06
2016;01;0,00045448278853951496
2016;02;3,093982822207371e-06
2016;03;2,905460571391869e-06
2016;04;3,0366868440183457e-06
2016;05;7,850288314840853e-05
2016;06;1,9354581432252776e-05
2016;07;2,43969971643592e-06
2016;08;4,871636751955907e-05
2016;09;0,0031400831662582603
2016;10;6,864427838517429e-06
2016;11;2,0420286626568652e-05
2016;12;7,574158665116969e-06
2017;01;0,0004920874328051251
2017;02;4,8251398774900665e-06
2017;03;0,002251033301546264
2017;04;1,8976427976205208e-05
2017;05;2,528416069760863e-06
2017;06;2,7272885617976086e-06
2017;07;2,4951474372640092e-06
2017;08;0,00025066805631962513
2017;09;2,509563844679312e-06
2017;10;3,848071825469383e-06
2017;11;3,9419632994049475e-06
2017;12;2,883281483060633e-06
