Ano;Mes;MDQI
2008;01;1,36017698018343e-05
2008;02;6,5554501941788355e-06
2008;03;2,6237861495851754e-05
2008;04;0,002333092231857114
2008;05;1,9506508187321742e-05
2008;06;3,2658707567744475e-06
2008;07;2,841141215231285e-05
2008;08;0,0041770986008632625
2008;09;5,882005120885346e-05
2008;10;3,727195794064149e-05
2008;11;9,4767547924648e-06
2008;12;7,363457325970231e-06
2009;01;0,0004571886373159257
2009;02;0,000566002413110158
2009;03;8,033265793573546e-05
2009;04;0,0027929382936065935
2009;05;8,561128095856955e-06
2009;06;7,551609925313546e-06
2009;07;0,003532496667148396
2009;08;3,7371763838132045e-06
2009;09;0,003914300801135285
2009;10;7,906844990085506e-06
2009;11;1,2089451397884358e-05
2009;12;9,65899296825312e-06
2010;01;0,00045633474241517315
2010;02;8,717173824473148e-06
2010;03;6,3986669835614825e-06
2010;04;0,0007814713057157552
2010;05;0,0024943268109957535
2010;06;8,05581453337697e-06
2010;07;0,0011145768154537498
2010;08;8,652062358015024e-05
2010;09;0,00011774323517844718
2010;10;7,097308265995404e-06
2010;11;1,2123828984797773e-05
2010;12;1,0268917897362099e-05
2011;01;0,00045815342765833446
2011;02;0,0047215528414941785
2011;03;7,31909914930776e-06
2011;04;4,503463885657396e-06
2011;05;3,3268632496853456e-06
2011;06;0,006111040064098157
2011;07;7,08178290416354e-05
2011;08;0,002143409275418943
2011;09;2,893446898545782e-05
2011;10;0,0048357509870359675
2011;11;0,00016493220281492847
2011;12;1,6955913029229647e-05
2012;01;0,00046797876378907184
2012;02;8,712940131503517e-06
2012;03;5,33407074366217e-06
2012;04;0,00044345941198741873
2012;05;0,00036219560199324355
2012;06;0,004694580350504708
2012;07;0,005940990406302267
2012;08;0,002332519272075224
2012;09;0,0019165160928359855
2012;10;0,00045177693976310434
2012;11;0,002238553867845222
2012;12;0,0017079450551234624
2013;01;0,00045819778583499693
2013;02;6,777295705787574e-06
2013;03;7,407815502632702e-06
2013;04;0,0009776298166437024
2013;05;0,0008590626283337499
2013;06;0,0015729121116364005
2013;07;4,568892196234541e-06
2013;08;4,180758150437918e-06
2013;09;0,0024199300164004004
2013;10;0,0009564399156520401
2013;11;9,05276455386601e-06
2013;12;9,244244016459015e-05
2014;01;0,000526121243849406
2014;02;0,002664950537527949
2014;03;5,711115245293176e-06
2014;04;6,3598535789818194e-06
2014;05;0,0020399660074420603
2014;06;3,3919219087903033e-06
2014;07;0,002165388751955198
2014;08;1,7410584340019976e-05
2014;09;3,414840300065913e-06
2014;10;0,00011879119710209807
2014;11;0,0012865582718432896
2014;12;0,00015676179632517347
2015;01;0,0004591514866332401
2015;02;6,126577096355072e-06
2015;03;7,429994590963939e-06
2015;04;2,0362990648379625e-05
2015;05;0,002022012035437925
2015;06;0,0037476726373659604
2015;07;0,0020623114389357803
2015;08;4,502354931240835e-06
2015;09;0,001278055548680038
2015;10;1,4505123768628104e-05
2015;11;2,353718784005163e-05
2015;12;0,0018267473417697265
2016;01;0,0004588409793966028
2016;02;8,641814089613691e-06
2016;03;5,9218165844399165e-06
2016;04;5,099342058823259e-06
2016;05;0,0010793786022720792
2016;06;0,004408925521645504
2016;07;0,005120452854399874
2016;08;3,1494305430354604e-06
2016;09;0,000502646157456682
2016;10;1,2531184907148135e-05
2016;11;0,002907369821245715
2016;12;8,472411742532013e-06
2017;01;0,00045637910059183567
2017;02;0,00011417042168137439
2017;03;0,002232169986920548
2017;04;0,00292577328944003
2017;05;0,0007347599277813397
2017;06;0,0015333778866859727
2017;07;0,001220570678588725
2017;08;0,0007477125153667814
2017;09;7,035946121612318e-06
2017;10;0,0007358356135654047
2017;11;6,700191689424628e-05
2017;12;8,361516300875835e-06
