Ano;Mes;MDQI
2008;01;1,3510873679641433e-05
2008;02;8,088419930815426e-06
2008;03;6,48564547447873e-06
2008;04;2,0230425501770402e-05
2008;05;0,0006941916322771004
2008;06;0,001389109343943394
2008;07;7,061673197540985e-05
2008;08;1,1029864178636524e-05
2008;09;2,6087181449794744e-05
2008;10;8,064388122871578e-06
2008;11;1,2514498594084631e-05
2008;12;1,4606925224319418e-05
2009;01;0,00046327562986284734
2009;02;1,050310866821716e-05
2009;03;0,00014066454768112856
2009;04;6,554863620624481e-06
2009;05;0,0016760842221369987
2009;06;7,377895824110963e-06
2009;07;0,0029415744609845467
2009;08;6,151407166035199e-06
2009;09;0,002385433917274681
2009;10;3,593417388436515e-05
2009;11;1,200010346690558e-05
2009;12;1,0972972551667414e-05
2010;01;0,00046363831398477535
2010;02;3,4493342635276884e-05
2010;03;9,429076024793144e-05
2010;04;6,668030548603873e-05
2010;05;0,003561430071173132
2010;06;8,421383082102753e-06
2010;07;1,2338371598926092e-05
2010;08;1,1371213940451196e-05
2010;09;1,1272601787038067e-05
2010;10;0,00020181593521955245
2010;11;1,3918062441101756e-05
2010;12;1,3369532337741242e-05
2011;01;0,0004621662431369497
2011;02;1,259743168601758e-05
2011;03;4,716315875739357e-05
2011;04;0,0009339945809208202
2011;05;7,374577145871101e-06
2011;06;0,0005024097207157793
2011;07;5,037753568114837e-05
2011;08;1,3917114247318939e-05
2011;09;0,005365067691459336
2011;10;0,002661845442630797
2011;11;0,0002998482681344858
2011;12;1,0539173896027937e-05
2012;01;0,00046428545624154903
2012;02;1,4017900707165082e-05
2012;03;7,801264348139436e-05
2012;04;0,0009784309714072734
2012;05;0,0010676922747826897
2012;06;0,001289566538332431
2012;07;9,913365999367708e-06
2012;08;3,956101510364602e-05
2012;09;3,218643795777492e-05
2012;10;0,00013964049839568457
2012;11;1,30656362303479e-05
2012;12;1,9108475208250382e-05
2013;01;0,00046684557945515906
2013;02;0,00019527593792288003
2013;03;0,0007034151872994677
2013;04;8,0245639839932e-06
2013;05;0,0003810103372655119
2013;06;2,8864915136561616e-05
2013;07;8,284843177376887e-06
2013;08;1,2089470730936228e-05
2013;09;0,00014372934703564376
2013;10;1,47491542917422e-05
2013;11;1,5204050259049386e-05
2013;12;1,3696659192813633e-05
2014;01;0,00046218757749706305
2014;02;0,0004789386059127808
2014;03;1,167700643541017e-05
2014;04;0,00022026399345806977
2014;05;0,0001418379374873665
2014;06;2,7520139304079242e-05
2014;07;0,0004072871574718704
2014;08;8,483963871768777e-06
2014;09;1,1199116768869629e-05
2014;10;1,0681402963450714e-05
2014;11;0,001515025922575009
2014;12;1,2516157933204565e-05
2015;01;0,0009805200793592684
2015;02;1,2581684896410058e-05
2015;03;8,491075325139915e-06
2015;04;2,5337634264476696e-05
2015;05;6,642097448643787e-06
2015;06;0,0033040480838928475
2015;07;0,0036584302951554676
2015;08;7,84393306836627e-06
2015;09;9,964568463639906e-06
2015;10;0,0006662578434352667
2015;11;1,1404874819741253e-05
2015;12;1,2295702878699259e-05
2016;01;0,0004608648471700312
2016;02;4,1840848965421156e-05
2016;03;2,5899913177688083e-05
2016;04;0,0013139709128661687
2016;05;0,0003870124039107532
2016;06;0,0013216794912720372
2016;07;0,0027699608682322224
2016;08;0,0004379019642346236
2016;09;0,0009296516163470655
2016;10;0,0008669075003019524
2016;11;0,004628409778328033
2016;12;1,3518872858535159e-05
2017;01;0,00046166132994759874
2017;02;1,0707816933114944e-05
2017;03;1,0261827214553516e-05
2017;04;0,0016822484299191013
2017;05;3,3800737873023466e-05
2017;06;0,0018835532886897152
2017;07;0,0004747108468836388
2017;08;6,784326516066566e-06
2017;09;1,08904796925622e-05
2017;10;0,0011356493231972934
2017;11;1,0390781569016834e-05
2017;12;1,2395263225895203e-05
