Ano;Mes;MDQI
2008;01;0,0016180814715877057
2008;02;0,0080140201508691
2008;03;0,003947951784801277
2008;04;0,012421187318014353
2008;05;0,008219830270657931
2008;06;0,012475338427902676
2008;07;0,012552817475332784
2008;08;0,01253198802840872
2008;09;0,009462886244603994
2008;10;0,0022468779155180962
2008;11;0,001151150158110365
2008;12;0,01372588015471564
2009;01;0,0009242471488334458
2009;02;1,8211162181099167e-05
2009;03;1,3376643791112379e-05
2009;04;0,0027875659821978128
2009;05;0,0013537078179165273
2009;06;0,004100206816235133
2009;07;0,003980529352694465
2009;08;0,0007964898890209344
2009;09;0,0012167355368256942
2009;10;0,0057579162281033375
2009;11;0,00010129174904337204
2009;12;0,0013855813519259722
2010;01;0,014245933628293662
2010;02;0,026636663048684284
2010;03;0,028638604985447402
2010;04;0,025824156524264456
2010;05;0,02843644770046604
2010;06;0,03312773694950168
2010;07;0,010592687582645758
2010;08;0,016859364296373743
2010;09;0,01170510520997021
2010;10;0,001784946350342394
2010;11;0,005781793880990719
2010;12;0,0033746121911133113
2011;01;0,016288279033404428
2011;02;0,019685463231498213
2011;03;0,03814579321406914
2011;04;0,18428051112651359
2011;05;0,08532212949455942
2011;06;0,19375982862118005
2011;07;0,0049886987627607215
2011;08;0,006604364077056522
2011;09;0,004458622643849863
2011;10;0,0045115984675443786
2011;11;0,0037860951060741535
2011;12;0,0009704787071992203
2012;01;0,03436309738270639
2012;02;0,030004875553577847
2012;03;0,07677223533858683
2012;04;0,011380022186596686
2012;05;0,011742168682649915
2012;06;0,009498644054444755
2012;07;0,02081069402152631
2012;08;0,03901083751358785
2012;09;0,004863128274859834
2012;10;0,029075639352370748
2012;11;0,012350803367612623
2012;12;0,015179141208374745
2013;01;0,03495720953169146
2013;02;0,023493005465017813
2013;03;0,030825995593515926
2013;04;0,008206806829050919
2013;05;0,01596635065074634
2013;06;0,02889801278874469
2013;07;0,05005110574850635
2013;08;0,03140126239106747
2013;09;0,023624639702955915
2013;10;0,007197793526517956
2013;11;0,007138452240910932
2013;12;0,003324170652351823
2014;01;0,0031972881013039617
2014;02;0,004304266838294076
2014;03;0,0022625728931082
2014;04;0,014566523635427302
2014;05;0,009614862744114149
2014;06;0,02553899791126184
2014;07;0,002808128038475124
2014;08;0,005603747030470415
2014;09;0,004015691696839615
2014;10;1,0553396802770213e-05
2014;11;0,0012021414122174428
2014;12;2,220195742469583e-05
2015;01;0,012851583854361075
2015;02;0,008917548675846163
2015;03;0,0183512476532915
2015;04;0,15519125357798552
2015;05;0,06996536551533374
2015;06;0,13570177016590565
2015;07;0,01885561326073279
2015;08;0,02101281574924082
2015;09;0,011039588142927772
2015;10;0,006048739113716064
2015;11;0,0032273664674340855
2015;12;0,0025835341181078145
2016;01;0,006890841864659484
2016;02;0,005655797229028962
2016;03;0,0055993450408336806
2016;04;0,0033876005495503602
2016;05;0,007658267243752574
2016;06;0,00948780501426491
2016;07;0,01668411675094877
2016;08;0,01578494458670196
2016;09;0,022635825298481446
2016;10;0,06589718749984
2016;11;0,05376595286259419
2016;12;0,05468161482786955
2017;01;0,03883764517818713
2017;02;0,017758615194568596
2017;03;0,03836033865082303
2017;04;0,03932149519084647
2017;05;0,049398146322875106
2017;06;0,02970803079551353
2017;07;0,008483274060791777
2017;08;0,010682206557681654
2017;09;0,004972753224963508
2017;10;0,0040739809614446015
2017;11;0,0004894690090163177
2017;12;0,0036719349451072606
