Ano;Mes;MDQI
2008;01;0,0016133602113260516
2008;02;2,554610337876201e-05
2008;03;0,0006159243725025792
2008;04;8,00997775082575e-06
2008;05;0,004254991559082562
2008;06;1,6019955501651498e-05
2008;07;0,00013752143719782657
2008;08;0,0009544105290697318
2008;09;0,00015090614735425507
2008;10;0,003881750771100365
2008;11;1,171129794183679e-05
2008;12;5,7754346014537595e-05
2009;01;0,0016421951477655146
2009;02;7,226659877584361e-05
2009;03;0,0001327307541182797
2009;04;3,538599612954209e-05
2009;05;0,0006293759895754736
2009;06;0,00011813284783013256
2009;07;0,0005636371717616912
2009;08;0,0017444740136050077
2009;09;0,001602740397881607
2009;10;1,2220677670510837e-05
2009;11;1,6971068739589322e-05
2009;12;1,2098692684689042e-05
2010;01;0,0007038200995592661
2010;02;0,0005215693820245686
2010;03;9,603545247425033e-06
2010;04;9,625724335756265e-06
2010;05;8,161904505894715e-06
2010;06;0,0009536342609781386
2010;07;0,00010693647438905262
2010;08;0,00024647620862502164
2010;09;7,993934876932823e-05
2010;10;1,3895198839519125e-05
2010;11;1,0072632965630663e-05
2010;12;2,9963948335499343e-05
2011;01;0,0004668032721075164
2011;02;0,00023477436319940218
2011;03;3,3900736514293676e-05
2011;04;0,00013063483027097786
2011;05;0,0006386579380420957
2011;06;0,0003298873240211326
2011;07;0,0004927195368225653
2011;08;0,0004367395178745265
2011;09;0,002673567852647579
2011;10;3,5153855005008485e-05
2011;11;1,3773953156641707e-05
2011;12;4,089823888279851e-05
2012;01;0,0042110991432750475
2012;02;9,922082843630535e-06
2012;03;9,00470986248167e-06
2012;04;0,004710554469223808
2012;05;0,0010988629313710696
2012;06;1,0427868030402621e-05
2012;07;0,001069830504745482
2012;08;0,0023993448652172363
2012;09;1,3544769243885603e-05
2012;10;0,0010637090763660612
2012;11;0,000930085613942449
2012;12;1,545882456687124e-05
2013;01;0,0009509727703783904
2013;02;0,002595470978834014
2013;03;0,0007407704607191044
2013;04;1,1745675528750207e-05
2013;05;1,1655110918064328e-05
2013;06;0,001364755822875671
2013;07;0,00013294145545742639
2013;08;1,280842351128858e-05
2013;09;0,0003674391081262198
2013;10;0,002815424562311217
2013;11;1,0359112856575792e-05
2013;12;0,003385149893819833
2014;01;0,0013605983527679812
2014;02;0,0007483386785569901
2014;03;1,0036037469884126e-05
2014;04;2,4568515447454087e-05
2014;05;0,0004690433600289713
2014;06;0,0004984520918532453
2014;07;8,826168201415223e-05
2014;08;0,001837548557787038
2014;09;0,0003064991057243724
2014;10;1,3418348440397564e-05
2014;11;0,0038062864230533344
2014;12;0,0016962234069404043
2015;01;0,0020553361156556067
2015;02;1,2682874029127834e-05
2015;03;0,004251941934437019
2015;04;1,0347653660937985e-05
2015;05;0,00019311332210006867
2015;06;0,0004629400445716874
2015;07;0,0007381200596635219
2015;08;0,0006746989565803537
2015;09;0,00023707929855054926
2015;10;0,0001719544718320699
2015;11;1,3659361200263656e-05
2015;12;0,0024660484733734275
2016;01;0,0004630993643562
2016;02;0,00013045701516625335
2016;03;9,503739349934471e-06
2016;04;1,543553652412344e-05
2016;05;0,0004962571014113973
2016;06;0,00012237275021612041
2016;07;0,0021050949003267334
2016;08;0,0004360852347687551
2016;09;1,0255980095835546e-05
2016;10;0,0011221177054863702
2016;11;0,000557020040758067
2016;12;0,001497421148683374
2017;01;0,0004621789321904537
2017;02;2,8447453170851106e-05
2017;03;0,00039616287577253086
2017;04;6,138691103172178e-05
2017;05;9,370664819947056e-06
2017;06;0,0014197599619371357
2017;07;0,0024052888608900075
2017;08;0,0003309563560786982
2017;09;0,002801544149530585
2017;10;0,0008950038409745172
2017;11;6,786135656708168e-05
2017;12;4,965897877363659e-05
