Ano;Mes;MDQI
2008;01;7,086354143671699e-06
2008;02;5,144783696697314e-06
2008;03;5,855279319446209e-06
2008;04;0,00043204605313216485
2008;05;0,00016459101450609965
2008;06;3,644024212822015e-06
2008;07;3,91460909046309e-06
2008;08;2,927639659723104e-06
2008;09;0,00029533784917315026
2008;10;5,64457798029947e-06
2008;11;5,752516210178149e-06
2008;12;8,13972541756348e-06
2009;01;0,0004708287766396356
2009;02;0,00024015200000942924
2009;03;0,002273256748054162
2009;04;3,116901213482982e-06
2009;05;3,0496246455449e-06
2009;06;3,7586161692000654e-06
2009;07;3,239255850776965e-05
2009;08;3,0828932780417533e-06
2009;09;3,6440242128220157e-06
2009;10;5,3673393761590245e-06
2009;11;9,098601336417232e-06
2009;12;3,021900785130856e-05
2010;01;0,0012860877055191951
2010;02;7,980511247757108e-06
2010;03;4,480175842909599e-06
2010;04;0,0003119651420436055
2010;05;3,970056811291179e-06
2010;06;7,1047012954391485e-06
2010;07;4,12531042960983e-06
2010;08;0,00010550592319168789
2010;09;2,448830107798945e-05
2010;10;7,041860545167316e-06
2010;11;5,660842645075708e-06
2010;12;7,906844990085506e-06
2011;01;0,0004559355188252109
2011;02;0,00019461397505876602
2011;03;5,101190316184196e-06
2011;04;4,961831711169599e-06
2011;05;4,846130800374987e-06
2011;06;4,205524799074463e-06
2011;07;3,7260868396475876e-06
2011;08;2,8389233063981615e-06
2011;09;3,036686844018346e-06
2011;10;4,7130562703875724e-06
2011;11;6,084832883674497e-06
2011;12;5,654558570048525e-05
2012;01;0,0029131012673219796
2012;02;7,385254016226791e-06
2012;03;2,971997836385575e-06
2012;04;3,919044908129338e-06
2012;05;4,0476836204505035e-06
2012;06;3,6325650171842104e-06
2012;07;2,572774246423334e-06
2012;08;2,43969971643592e-06
2012;09;3,987800081956167e-06
2012;10;0,000727119231851229
2012;11;0,0044046397824769636
2012;12;3,744939064729137e-05
2013;01;0,00045877444213160906
2013;02;0,001658976400474136
2013;03;5,833100231114973e-06
2013;04;3,6669426040976256e-06
2013;05;4,080952252947357e-06
2013;06;6,909894969596462e-06
2013;07;0,0011994007387765605
2013;08;2,938729203888722e-06
2013;09;5,019127689358624e-06
2013;10;7,197114163485965e-06
2013;11;8,032896142101359e-06
2013;12;9,381754364112672e-05
2014;01;0,0004566896078284729
2014;02;0,0001331026499029766
2014;03;4,01441498795365e-06
2014;04;2,0317153865828406e-05
2014;05;5,822010686949355e-06
2014;06;3,6096466259085997e-06
2014;07;7,130576898492257e-05
2014;08;6,886606926848665e-06
2014;09;7,734957055518428e-06
2014;10;6,897696471014284e-06
2014;11;8,170406489755023e-06
2014;12;0,005080208898622846
2015;01;0,0032162672257216394
2015;02;0,0004675965705705068
2015;03;0,0014321591812687128
2015;04;3,575269038995184e-06
2015;05;4,402549033750274e-06
2015;06;4,136769625247633e-06
2015;07;3,215967808029168e-06
2015;08;3,0163560130480467e-06
2015;09;5,878567362194006e-06
2015;10;0,002280886354440107
2015;11;6,485904730997675e-06
2015;12;0,004119222269862904
2016;01;0,00045687813007928846
2016;02;8,298038220479539e-06
2016;03;0,0037834752307046586
2016;04;4,045096060145193e-06
2016;05;4,77959353538128e-06
2016;06;0,00016925231957038103
2016;07;4,291653592094095e-06
2016;08;1,1555305020573766e-05
2016;09;4,434708711830565e-06
2016;10;0,005121073868873149
2016;11;0,0024041392448115053
2016;12;0,0008573326594439136
2017;01;0,00045708883141843516
2017;02;0,0005675739599404854
2017;03;4,391459489584656e-06
2017;04;3,540891452081769e-06
2017;05;7,907953944502064e-05
2017;06;3,5294322564439644e-06
2017;07;2,772386041404455e-06
2017;08;2,572774246423334e-06
2017;09;0,0007383503525306946
2017;10;5,067921683687344e-06
2017;11;4,9434969981491105e-05
2017;12;0,0019085881777119857
