Ano;Mes;MDQI
2008;01;0,0006642141612201092
2008;02;0,00012869071845932268
2008;03;1,8708061007397262e-05
2008;04;0,002180386990787724
2008;05;0,0008261045030735336
2008;06;9,786153074685539e-06
2008;07;1,880786690488782e-05
2008;08;0,00028650946306290194
2008;09;0,0009632599853138947
2008;10;0,00222735712475267
2008;11;1,546991411103686e-05
2008;12;0,00036593277837705673
2009;01;0,0016788571807770472
2009;02;3,219215460249098e-05
2009;03;0,0009581920636302074
2009;04;0,0009210557677798587
2009;05;0,00015775985530007907
2009;06;0,0005237654550171567
2009;07;0,0001920487258601694
2009;08;0,00029041298260919945
2009;09;0,0011969702803469294
2009;10;0,0014658381268996944
2009;11;0,00034219450013613524
2009;12;1,4471855136131256e-05
2010;01;0,00048298291704515283
2010;02;1,4770084663156617e-05
2010;03;1,6190734481802014e-05
2010;04;0,0004864428548248256
2010;05;1,0967559179796024e-05
2010;06;0,00043673286414802707
2010;07;0,0003869363750267369
2010;08;0,0006227111735319374
2010;09;1,8873295215464962e-05
2010;10;0,000634588075333314
2010;11;1,7578406108392988e-05
2010;12;5,204323076924442e-05
2011;01;0,00046348749840199665
2011;02;0,00030267009735339726
2011;03;0,00025367332278850756
2011;04;0,00028551731851155133
2011;05;0,00016397000003282508
2011;06;0,0002521137632273495
2011;07;0,0014358409099316982
2011;08;0,00014995281620748413
2011;09;0,0005443461703826546
2011;10;0,0006450233363931605
2011;11;0,0014505851982028312
2011;12;0,0004078734344114234
2012;01;0,001581102848957126
2012;02;3,596606851562132e-05
2012;03;4,4535609369121155e-05
2012;04;0,0036935050195860564
2012;05;1,3451617072894414e-05
2012;06;6,703629448115971e-06
2012;07;7,638478021277552e-05
2012;08;0,0013594783088072542
2012;09;0,0003030842654243065
2012;10;0,00023970049713982917
2012;11;0,0007520211729265961
2012;12;2,395341539773449e-05
2013;01;0,0021261872133297387
2013;02;6,99583893688e-05
2013;03;0,0012634983040538319
2013;04;0,0027052066918035584
2013;05;0,003121617966268091
2013;06;0,0005329557299186764
2013;07;5,378428920324641e-06
2013;08;0,0002813195563933928
2013;09;0,000989352573781177
2013;10;0,000208017669458659
2013;11;1,529802617646978e-05
2013;12;2,0038806307271398e-05
2014;01;0,0006885830658757072
2014;02;9,41086441754742e-05
2014;03;0,001685022967333131
2014;04;0,00042544555644478905
2014;05;0,0010543938592669421
2014;06;8,746804030336615e-05
2014;07;0,00015239251592392007
2014;08;0,0002920431456015452
2014;09;0,0001766893375393165
2014;10;0,0011358576507075706
2014;11;0,00030471147120487486
2014;12;0,0004514442534381358
2015;01;0,0004715274179220696
2015;02;0,0006131488180199844
2015;03;0,00024236198773957743
2015;04;0,0005394874714322253
2015;05;5,431658732319607e-05
2015;06;2,6218639619298016e-05
2015;07;0,00018339888141098747
2015;08;0,0001398502414726063
2015;09;0,00027887098504162435
2015;10;0,0011217739296172358
2015;11;1,6833558391935663e-05
2015;12;0,0015723310195221221
2016;01;0,0004605155005656111
2016;02;1,0751886665678488e-05
2016;03;0,0024425829979189805
2016;04;0,00017900409505815313
2016;05;0,0008933182302613433
2016;06;4,6627467050228854e-05
2016;07;0,00011634040784149652
2016;08;0,0005057941093938288
2016;09;0,0008030375119061042
2016;10;0,00010184637361703404
2016;11;0,0007549661862055118
2016;12;7,540890032620117e-05
2017;01;0,0017471133251164247
2017;02;0,0014125013800145602
2017;03;0,0007153310464031773
2017;04;0,0017469429157877467
2017;05;4,0110881247039657e-05
2017;06;6,004618514209861e-06
2017;07;9,093426215806611e-05
2017;08;0,0005046740654331013
2017;09;0,0001857764796800959
2017;10;3,4588288252561985e-05
2017;11;0,0003508576520383159
2017;12;0,00039823662053150145
