Ano;Mes;MDQI
2008;01;0,0067952538801679145
2008;02;0,004183230736388776
2008;03;0,0024373709121611404
2008;04;0,001702595828669441
2008;05;0,00833799537770056
2008;06;0,0036185160433322605
2008;07;0,0010492704898624266
2008;08;0,002337476298317255
2008;09;0,001832967097440749
2008;10;0,008687981391567458
2008;11;0,0016489094971063238
2008;12;0,005270316954254034
2009;01;0,00632631879742499
2009;02;0,0016048930896335662
2009;03;0,0050745532310983825
2009;04;0,004622204070856332
2009;05;0,001002029031716895
2009;06;0,0013388236631473186
2009;07;0,002703719583930949
2009;08;0,003032934881575645
2009;09;0,00522584011946899
2009;10;0,008194762825257438
2009;11;0,005114273390739319
2009;12;0,0064320354219558245
2010;01;0,0020248620482884883
2010;02;0,002223161712561727
2010;03;0,0006463429921488689
2010;04;0,00025356908107335076
2010;05;0,0003622288706257404
2010;06;0,00015845775727956865
2010;07;0,0008647626540348775
2010;08;0,0007180147160912569
2010;09;0,0005544646401308365
2010;10;0,002931853686506039
2010;11;0,0018648924164876741
2010;12;0,003954609076268474
2011;01;0,006395062881707655
2011;02;0,004144574155990953
2011;03;0,003726885286827511
2011;04;0,003202169088223889
2011;05;0,001738574376108899
2011;06;0,001322964136384596
2011;07;0,0013767558186172865
2011;08;0,0017895862792707408
2011;09;0,002656654079886178
2011;10;0,0021009585003529583
2011;11;0,008916274074624116
2011;12;0,0024998272249018997
2012;01;0,0055982458647755185
2012;02;0,0034950625724240922
2012;03;0,005367993659264795
2012;04;0,005101920377841766
2012;05;0,003114065986691305
2012;06;0,0007174373204917004
2012;07;0,0011054833892379435
2012;08;0,0017561845722439
2012;09;0,0007800159878697538
2012;10;0,005590416646594592
2012;11;0,010107308491630662
2012;12;0,0038306834202176945
2013;01;0,0027976147543812353
2013;02;0,001480335725620496
2013;03;0,00420423471543653
2013;04;0,004193836419523903
2013;05;0,0009238588348934548
2013;06;0,0002511741091850495
2013;07;0,00013495975249556885
2013;08;0,00034602704659977276
2013;09;0,0006125971396014217
2013;10;0,005184339718337999
2013;11;0,0015573619831558989
2013;12;0,0029277061969880972
2014;01;0,00827991943490522
2014;02;0,003099569180080801
2014;03;0,002510262485961746
2014;04;0,0033958409536984325
2014;05;0,0013314993888774002
2014;06;0,0010875578803971665
2014;07;0,000274233337671563
2014;08;0,00048025488918041083
2014;09;0,003381001295347475
2014;10;0,004835684449770975
2014;11;0,004885857244090951
2014;12;0,006286651497944575
2015;01;0,005755673033750628
2015;02;0,00589644370738898
2015;03;0,006777918304481444
2015;04;0,0024988265783666883
2015;05;0,00035597436771633194
2015;06;0,0009618275858591693
2015;07;0,00036220669153740916
2015;08;0,0004802659787245765
2015;09;0,0015219645278307195
2015;10;0,0030980083267394903
2015;11;0,005865847655036041
2015;12;0,0063876883348375196
2016;01;0,006505126607551411
2016;02;0,00115782527290351
2016;03;0,0018438806875056058
2016;04;0,0026681247347196207
2016;05;0,003089901869954424
2016;06;0,0009647153031598962
2016;07;0,0002523980252094615
2016;08;0,000505405975348032
2016;09;0,0013942632516430193
2016;10;0,00444170621419907
2016;11;0,0016922710933997783
2016;12;0,006678356376962527
2017;01;0,0016587629267489476
2017;02;0,005094193605925988
2017;03;0,003052984777427082
2017;04;0,0015932407246978667
2017;05;0,0012797112176239649
2017;06;0,0006628227940819214
2017;07;0,003590483893590412
2017;08;0,002482738237342683
2017;09;0,004303833238451194
2017;10;0,007568403191695014
2017;11;0,004726929659790232
2017;12;0,0029675065709984997
