Ano;Mes;MDQI
2008;01;1,6014452546422895e-05
2008;02;5,365107399801722e-06
2008;03;5,5659982983088444e-06
2008;04;2,043418834725571e-05
2008;05;7,410846382932588e-05
2008;06;3,8013808197868514e-06
2008;07;5,005295767029576e-06
2008;08;4,622376965180318e-06
2008;09;7,263604986507219e-06
2008;10;5,114701138986505e-06
2008;11;7,221210404873908e-06
2008;12;9,53194303174758e-06
2009;01;0,0004584905625285069
2009;02;0,0018633629901600962
2009;03;0,00022794609247226496
2009;04;3,137199040864985e-06
2009;05;3,5283232456110124e-06
2009;06;3,900301510264576e-06
2009;07;3,6924313035464084e-06
2009;08;3,159080115256372e-06
2009;09;3,688328602098023e-06
2009;10;5,483944269341148e-06
2009;11;9,877937520561372e-06
2009;12;8,697727070575983e-06
2010;01;0,0011979614715854011
2010;02;7,661306538019702e-06
2010;03;5,757457699233474e-06
2010;04;4,197063581697751e-06
2010;05;5,101025467491891e-06
2010;06;6,896185279018525e-06
2010;07;2,9949720573209762e-06
2010;08;0,00012989152785586588
2010;09;7,588630112362599e-06
2010;10;6,318160230512744e-06
2010;11;6,557028625952042e-06
2010;12;9,737078104166825e-06
2011;01;0,00045648023881879834
2011;02;6,763449862714231e-05
2011;03;4,266809506320294e-06
2011;04;3,6035394388314022e-06
2011;05;2,7488099704178814e-06
2011;06;3,744854710942438e-06
2011;07;3,555674588600245e-06
2011;08;2,844539670880196e-06
2011;09;2,7415162789540864e-06
2011;10;8,766105428049065e-06
2011;11;0,0006894913441569526
2011;12;1,5344103416959516e-05
2012;01;0,001434851453215145
2012;02;6,008335534927814e-06
2012;03;3,2958368302025347e-06
2012;04;3,829643874209059e-06
2012;05;4,089025776890282e-06
2012;06;3,5470133299869874e-06
2012;07;3,4189178736540813e-06
2012;08;2,8308639993855794e-06
2012;09;3,7589862381535406e-06
2012;10;5,866863071190405e-06
2012;11;0,002271402763222304
2012;12;4,064409568199973e-05
2013;01;0,0016765279198680044
2013;02;0,00014742715762983765
2013;03;4,923241738061878e-06
2013;04;4,493825653130925e-06
2013;05;4,813836366104947e-06
2013;06;4,041616782375612e-06
2013;07;0,0013857831438924616
2013;08;2,9812963858263595e-06
2013;09;7,1364212416072865e-06
2013;10;7,78145708043669e-06
2013;11;9,637701557972612e-06
2013;12;9,983240191069919e-06
2014;01;0,0005966695473101103
2014;02;7,691588382043496e-06
2014;03;3,391566530664849e-06
2014;04;2,8828315510651215e-06
2014;05;4,7181066656426334e-06
2014;06;4,63514092524196e-06
2014;07;4,294160849309527e-06
2014;08;4,253133834825678e-06
2014;09;6,542897098740938e-06
2014;10;7,562646336522829e-06
2014;11;1,242161241856001e-05
2014;12;0,002802418602676777
2015;01;0,003284157806746132
2015;02;2,738992791952103e-05
2015;03;0,0006571023396448198
2015;04;3,4198295850870563e-06
2015;05;2,9265936998478946e-06
2015;06;5,7091369932858295e-06
2015;07;2,6804316129448e-06
2015;08;4,499295921728772e-06
2015;09;7,291868040929426e-06
2015;10;0,0019687086413504827
2015;11;6,8820537518074225e-06
2015;12;0,001798843125715853
2016;01;0,00045909229207427
2016;02;8,581248075432182e-06
2016;03;0,0035680100442883884
2016;04;3,67419707488692e-06
2016;05;4,936917409556493e-06
2016;06;4,960166051097342e-06
2016;07;5,388214568878833e-06
2016;08;9,053294529436008e-06
2016;09;4,310115799386579e-06
2016;10;0,005103240926274017
2016;11;1,0047515847094614e-05
2016;12;0,0001957809131169273
2017;01;0,00045477077988197124
2017;02;7,207078877662804e-06
2017;03;4,417241892761074e-06
2017;04;5,143875904841687e-06
2017;05;6,29080888752351e-06
2017;06;4,804719251775202e-06
2017;07;4,089025776890282e-06
2017;08;4,6907553226534e-06
2017;09;0,003255762554166143
2017;10;5,825836056706556e-06
2017;11;1,3071662670270773e-05
2017;12;0,0025995263403826496
