Ano;Mes;MDQI
2008;01;0,00480530215330467
2008;02;2,417953035223991e-05
2008;03;0,00020000669560876378
2008;04;0,0014317356793929548
2008;05;5,812160385211939e-06
2008;06;4,211195108908854e-06
2008;07;3,815512346997955e-06
2008;08;6,687403360867383e-06
2008;09;4,762324670141892e-06
2008;10;7,795132751931305e-06
2008;11;0,0010012045713794747
2008;12;1,1214050625585389e-05
2009;01;0,0018266320901929136
2009;02;7,797574836126771e-06
2009;03;0,0020271174343039888
2009;04;2,3302888371109733e-05
2009;05;2,598377583977102e-06
2009;06;5,779794629341347e-06
2009;07;3,952269061944119e-06
2009;08;3,159080115256372e-06
2009;09;3,7307231837313342e-06
2009;10;8,410537969189042e-06
2009;11;0,0008551693691799305
2009;12;0,0015647566567425055
2010;01;0,00047897671842744215
2010;02;0,0005967037364888469
2010;03;5,579673969803461e-06
2010;04;5,384111867430447e-06
2010;05;5,415565911868066e-06
2010;06;4,3666419082309925e-06
2010;07;4,376214878277225e-06
2010;08;8,766105428049065e-06
2010;09;7,34839414977384e-06
2010;10;1,5795400576281855e-05
2010;11;0,0003352846146106425
2010;12;1,3949184924508654e-05
2011;01;0,0004594341838616354
2011;02;0,00010536567628078875
2011;03;5,784809042222707e-06
2011;04;0,00012810229416865358
2011;05;4,047998762406433e-06
2011;06;1,0655171517172068e-05
2011;07;5,31983621140575e-06
2011;08;9,009532380653235e-05
2011;09;3,2785143129760207e-06
2011;10;5,948917100158103e-06
2011;11;6,472239462685421e-06
2011;12;1,0530267050854574e-05
2012;01;0,00045531780674175587
2012;02;0,0014626569228129746
2012;03;3,022323400310208e-06
2012;04;0,0043982965291838655
2012;05;4,690755322653401e-06
2012;06;3,7589862381535406e-06
2012;07;2,3823019743621643e-05
2012;08;7,986592152855935e-06
2012;09;2,6171588394963754e-05
2012;10;0,0018612725660887765
2012;11;0,00048565819566399524
2012;12;0,001743566061534614
2013;01;0,0005653249082444497
2013;02;0,0009066686919163949
2013;03;0,0005532492903147035
2013;04;8,606100071562053e-06
2013;05;1,0831131823736131e-05
2013;06;4,776456197352996e-06
2013;07;5,702755013255009e-06
2013;08;4,212106820341829e-06
2013;09;6,133082809618935e-06
2013;10;0,0012102422245875663
2013;11;1,1856351330115866e-05
2013;12;9,107997215414475e-06
2014;01;0,004006971747922584
2014;02;7,948984056245738e-06
2014;03;6,413889930975057e-06
2014;04;0,0007255832646541109
2014;05;7,754105737447456e-06
2014;06;4,550351761975339e-06
2014;07;5,675403670265776e-06
2014;08;0,0001840335113030519
2014;09;0,0022443550201402527
2014;10;7,029295148232792e-06
2014;11;1,1997666602226904e-05
2014;12;0,006195968105708345
2015;01;0,0018424274907691955
2015;02;4,660375795261788e-05
2015;03;6,577997988910453e-06
2015;04;4,931902996675135e-06
2015;05;3,883890704471037e-06
2015;06;3,278514312976021e-06
2015;07;0,00036118815984431175
2015;08;3,4462692166433144e-06
2015;09;9,383334068172748e-05
2015;10;9,61399706071528e-06
2015;11;7,828866074951361e-06
2015;12;1,694415698182963e-05
2016;01;0,0004579982383547007
2016;02;0,0015994159956335334
2016;03;0,0009850039150712355
2016;04;5,666742411652518e-06
2016;05;5,6713009688173905e-05
2016;06;5,6384793572303115e-06
2016;07;1,2485888074584708e-05
2016;08;9,303559317787487e-05
2016;09;6,486370989896524e-06
2016;10;7,658376036985143e-05
2016;11;0,0002689936204633558
2016;12;9,107997215414475e-06
2017;01;0,00045581013091556204
2017;02;2,6920559337152234e-05
2017;03;5,114701138986505e-06
2017;04;1,0711697626016482e-05
2017;05;5,032647110018808e-06
2017;06;3,928564564686783e-06
2017;07;2,6941072844394165e-06
2017;08;2,065026395687065e-06
2017;09;0,0015994203812799094
2017;10;5,593349641298078e-06
2017;11;3,4410268759037104e-05
2017;12;1,34842120936917e-05
