Ano;Mes;MDQI
2008;01;0,0004298065925611757
2008;02;7,214201611225414e-06
2008;03;0,000761572652968642
2008;04;0,0036695478672590146
2008;05;0,002004811154217897
2008;06;0,00036164181991232353
2008;07;0,0008319120382625776
2008;08;0,0012080510299688591
2008;09;0,0005747851151098718
2008;10;6,314970593571396e-06
2008;11;8,347898063934318e-06
2008;12;1,038983337523402e-05
2009;01;0,0004657930843562305
2009;02;1,6793951116422186e-05
2009;03;4,693559224951712e-06
2009;04;0,00572242533481244
2009;05;0,0017501073402771837
2009;06;0,00041514626164076176
2009;07;0,00014983832252989785
2009;08;0,0004277823660874929
2009;09;2,9283779740121704e-05
2009;10;0,00018085848213480598
2009;11;0,0002989370539091972
2009;12;8,492497615814142e-05
2010;01;0,0004618888964554752
2010;02;2,9603964462141316e-05
2010;03;0,0003087864168282246
2010;04;0,001435015434793216
2010;05;4,662979975455814e-05
2010;06;1,086843418711167e-05
2010;07;1,7792856334589673e-05
2010;08;8,294088066759366e-05
2010;09;0,001857767395814411
2010;10;6,64849775667781e-05
2010;11;0,001600900514806643
2010;12;1,1342768126966637e-05
2011;01;0,0004578638138474106
2011;02;0,0006060939319935209
2011;03;0,0005565707866388193
2011;04;4,644253148245148e-06
2011;05;7,255104729235965e-05
2011;06;0,0034190741828319005
2011;07;0,0014972240583994829
2011;08;0,0024920950506617094
2011;09;0,0007920141773175852
2011;10;4,081974235033763e-06
2011;11;0,002621475144133515
2011;12;1,3433535418081492e-05
2012;01;0,00045334092950336625
2012;02;5,085670050484511e-06
2012;03;4,416212543477293e-06
2012;04;0,0016562494304911092
2012;05;0,002186188772448796
2012;06;0,005107164671695394
2012;07;0,002388104268015544
2012;08;0,0011083271193453776
2012;09;0,00014823397864936888
2012;10;0,00016077573781470955
2012;11;0,00010901502445287465
2012;12;6,657742646060291e-05
2013;01;0,0004599403582317832
2013;02;8,626878686480914e-05
2013;03;0,0009700235741834674
2013;04;2,1185730737960066e-05
2013;05;2,100723325834448e-05
2013;06;5,348974472480449e-05
2013;07;0,0012962259403176111
2013;08;0,00015783870757242916
2013;09;4,1320625716111504e-05
2013;10;0,001852718500969348
2013;11;1,044222108173474e-05
2013;12;9,159551942026978e-06
2014;01;0,0016485344517772065
2014;02;6,882921737447855e-05
2014;03;1,1897461489915479e-05
2014;04;0,001291550633822979
2014;05;5,8392143630421974e-05
2014;06;0,0008113995251104187
2014;07;7,332619570981377e-05
2014;08;0,00331653295143122
2014;09;0,005043423766936092
2014;10;2,4783414998419265e-05
2014;11;0,0015036357447589012
2014;12;0,0005173866785638437
2015;01;0,0004656579667421789
2015;02;1,703015296053502e-05
2015;03;0,00015766092123815068
2015;04;4,328267570120874e-05
2015;05;0,0002500458119826169
2015;06;4,460540602824059e-06
2015;07;0,001078039439437697
2015;08;0,0012869241593081616
2015;09;0,0007432715647664618
2015;10;0,00018548092682604627
2015;11;7,480774849546774e-06
2015;12;3,592706243099401e-05
2016;01;0,002977942433524552
2016;02;1,9802945413321605e-05
2016;03;0,00012519713659890134
2016;04;0,0002952628030007753
2016;05;0,004291200304666041
2016;06;0,00029508643895717114
2016;07;5,006463173281828e-06
2016;08;0,00015267579242498228
2016;09;0,0016262528460747536
2016;10;0,0001612450937372047
2016;11;0,0004788504238909788
2016;12;8,988877061119644e-06
2017;01;0,00045561659458213065
2017;02;0,00024074479291459974
2017;03;0,001874607554445714
2017;04;3,982887984729226e-06
2017;05;0,0018451234687689717
2017;06;6,737841315863886e-05
2017;07;0,0011015499042826822
2017;08;0,0014827380278824727
2017;09;0,0018576498197853412
2017;10;8,280576305354203e-05
2017;11;6,38437837847371e-05
2017;12;9,700022398233538e-06
