Ano;Mes;MDQI
2008;01;0,0011002715152245122
2008;02;0,0005219027329748427
2008;03;5,8201874123926224e-05
2008;04;6,659876841009248e-06
2008;05;0,0038721734363974165
2008;06;0,0015667157223448614
2008;07;0,0034617932402197663
2008;08;0,004855022707769685
2008;09;0,0016965833207445414
2008;10;1,1887958759275948e-05
2008;11;1,8842578379440797e-05
2008;12;1,701648311658343e-05
2009;01;0,00047062562023705487
2009;02;1,39230874724932e-05
2009;03;1,1278823682354374e-05
2009;04;0,0018416386870621334
2009;05;8,351045409408725e-06
2009;06;9,427380540489612e-05
2009;07;0,0007201941561074085
2009;08;0,0006241080101026821
2009;09;2,639585333326836e-05
2009;10;2,043549935478841e-05
2009;11;2,0142066543540163e-05
2009;12;1,8647393161244422e-05
2010;01;0,0005980527484253269
2010;02;1,213919189008001e-05
2010;03;1,1573566461509975e-05
2010;04;9,989815261513872e-06
2010;05;0,00012491198980614415
2010;06;0,000275329054768553
2010;07;0,0001281345108582454
2010;08;7,905001336953246e-05
2010;09;1,5187767917911335e-05
2010;10;1,4304849548351886e-05
2010;11;1,6852737128163647e-05
2010;12;1,648594611410334e-05
2011;01;0,0009726904702507075
2011;02;0,001594324044545526
2011;03;2,000320994536019e-05
2011;04;0,00025630373586603574
2011;05;0,00014074950180610515
2011;06;2,0385720574308794e-05
2011;07;5,830012171697809e-05
2011;08;1,931547679399712e-05
2011;09;0,00018406031574313668
2011;10;1,4619241846117861e-05
2011;11;0,0017368471493290581
2011;12;0,0011146189431734347
2012;01;0,0004613313979343482
2012;02;0,006051273882085901
2012;03;3,1635724962701285e-05
2012;04;1,782735325123817e-05
2012;05;5,879135968223742e-05
2012;06;6,862921866649773e-06
2012;07;0,0017486892592115768
2012;08;0,003066720019039598
2012;09;0,00018619228851236218
2012;10;0,0008676244942410406
2012;11;1,6771519117907436e-05
2012;12;2,0592695503671398e-05
2013;01;0,002251441842376592
2013;02;0,0006104838760204752
2013;03;8,920881449109556e-06
2013;04;6,9441398769059834e-06
2013;05;0,00481988936849434
2013;06;0,001535385874888528
2013;07;0,002197995151756376
2013;08;0,0016038919565717345
2013;09;1,5695380482012648e-05
2013;10;1,687893648631081e-05
2013;11;2,743138296403504e-05
2013;12;0,004642768607740433
2014;01;0,003101165625163582
2014;02;2,184184347247371e-05
2014;03;0,0018300972148143535
2014;04;0,00047065836943473887
2014;05;0,0011910359210491777
2014;06;0,00012958333536378357
2014;07;0,000354929254659176
2014;08;0,0030662091315557275
2014;09;1,7969484769186538e-05
2014;10;0,0017501433235887441
2014;11;2,460905710763173e-05
2014;12;0,0002148478364858235
2015;01;0,0011075254669550903
2015;02;1,3335707219747391e-05
2015;03;5,6020777558174764e-05
2015;04;1,727913168200875e-05
2015;05;1,6819987930479688e-05
2015;06;0,00029224270540440883
2015;07;0,00025845011828224226
2015;08;0,0007627746629360878
2015;09;0,0001470045985637407
2015;10;0,0005635874927827319
2015;11;1,4984722892270808e-05
2015;12;1,6289450927999604e-05
2016;01;0,0015801160390531825
2016;02;0,00024335996555908265
2016;03;0,0006125344436411721
2016;04;0,0008951443000388222
2016;05;2,7116335682315392e-05
2016;06;0,00019242577079952634
2016;07;0,00024272807786390694
2016;08;0,00044366648070362253
2016;09;0,0009487887958130491
2016;10;1,9904962352308327e-05
2016;11;2,1969471774304894e-05
2016;12;2,469944489323945e-05
2017;01;0,00046180298638099715
2017;02;0,001968550530017132
2017;03;0,0009341577642557651
2017;04;1,0334991805102765e-05
2017;05;0,0018438911768788359
2017;06;0,002929411802926122
2017;07;0,0024984166417903763
2017;08;0,0003070826768429166
2017;09;1,4903504882014596e-05
2017;10;0,0008530642009507538
2017;11;1,3340058184582548e-05
2017;12;1,691823552353156e-05
