Ano;Mes;MDQI
2008;01;0,0009681955254010849
2008;02;0,004622174701234749
2008;03;0,002715096005473885
2008;04;0,002842275578224214
2008;05;4,757562305291963e-06
2008;06;5,2100877881421055e-06
2008;07;1,2992625309070877e-05
2008;08;9,472455890357093e-06
2008;09;0,0018660197633547262
2008;10;1,2203253984874451e-05
2008;11;1,6490038076997016e-05
2008;12;2,3396681591047174e-05
2009;01;0,002492215945369019
2009;02;0,0002338083320924863
2009;03;4,21851413975963e-05
2009;04;0,0029543916704437966
2009;05;0,0029336594133824697
2009;06;7,135395264155126e-06
2009;07;0,001406410798850038
2009;08;6,848329596406817e-06
2009;09;3,2840454619474e-05
2009;10;3,018100810711374e-05
2009;11;2,4014903937444852e-05
2009;12;1,9378710436353663e-05
2010;01;0,0006957419291120088
2010;02;1,6518382298290555e-05
2010;03;0,0012861134536238516
2010;04;0,0025868416550707306
2010;05;5,80294595084939e-06
2010;06;0,001639781437919563
2010;07;6,115849899179504e-06
2010;08;6,969224303716179e-06
2010;09;0,00011088154391435293
2010;10;7,936381962191078e-06
2010;11;3,555205178988929e-05
2010;12;1,6726138328918827e-05
2011;01;0,0004873123422572971
2011;02;1,1463662834275999e-05
2011;03;0,0017965522422440925
2011;04;0,0001592787768800848
2011;05;0,00025700081337959074
2011;06;5,8714529516580274e-06
2011;07;0,00031143187748228836
2011;08;0,0001050503891984647
2011;09;0,0005050845753771104
2011;10;1,489849481253612e-05
2011;11;2,5903468904373652e-05
2011;12;0,0008598031583841845
2012;01;0,0004615475466936605
2012;02;9,281917984516574e-06
2012;03;0,0009934202557745145
2012;04;6,863500696931912e-06
2012;05;4,928237186199297e-06
2012;06;5,864104449841185e-06
2012;07;0,000655981793313971
2012;08;0,0026877595787152264
2012;09;0,0014596696583887262
2012;10;1,1648560621925613e-05
2012;11;0,0017436525111006469
2012;12;1,7814190694703086e-05
2013;01;0,0004646268060033637
2013;02;0,0010900478903962975
2013;03;1,563808596313457e-05
2013;04;0,000611094062586896
2013;05;4,757562305291963e-06
2013;06;0,0008885147031763753
2013;07;0,00013822531917482788
2013;08;0,003411669974630318
2013;09;7,958427467641607e-06
2013;10;0,00019779085261148786
2013;11;2,2324748519570828e-05
2013;12;0,004804120990512809
2014;01;0,00047052931230140904
2014;02;0,0019228719725537236
2014;03;0,0012622474161103094
2014;04;6,429939089738141e-06
2014;05;7,097230464396679e-06
2014;06;0,0010429728628646106
2014;07;4,36643236987932e-06
2014;08;0,0007250411170011014
2014;09;5,65099789715272e-06
2014;10;1,139965975393575e-05
2014;11;2,122247324704429e-05
2014;12;1,897335759419874e-05
2015;01;0,006868824805022436
2015;02;0,00327782023112256
2015;03;0,0003003451216766827
2015;04;0,0009131762752737022
2015;05;3,593417388436516e-05
2015;06;1,266881713223835e-05
2015;07;0,004813977464885208
2015;08;0,0011411749224666686
2015;09;0,0029271507742087565
2015;10;9,123994675171282e-06
2015;11;1,3300788288486898e-05
2015;12;0,003875962542325237
2016;01;0,00046062305775541244
2016;02;0,0032763117972767083
2016;03;0,004151012224360779
2016;04;1,8790119145669057e-05
2016;05;2,2564641546623913e-05
2016;06;5,379103329929507e-06
2016;07;0,000877532011638434
2016;08;0,0008763728447389383
2016;09;0,00028692225343865787
2016;10;0,002794616277069961
2016;11;1,7430646309552996e-05
2016;12;0,0004491096147475386
2017;01;0,002327969818309194
2017;02;9,055191363805512e-05
2017;03;0,0005565636751854483
2017;04;0,003957013909832118
2017;05;4,2099803957142636e-06
2017;06;6,48872710427289e-06
2017;07;5,098912067106633e-06
2017;08;0,0015297802919325568
2017;09;8,391989074835378e-06
2017;10;1,043961354883199e-05
2017;11;1,2418968070465667e-05
2017;12;0,0014556149447249487
