Ano;Mes;MDQI
2008;01;0,002867571664039477
2008;02;0,002822455655237729
2008;03;0,007213502727014803
2008;04;0,0006622175897266769
2008;05;7,253682438561737e-07
2008;06;1,4403063561013439e-06
2008;07;8,74708764650092e-07
2008;08;0,0001350891682381556
2008;09;2,2927325668552e-06
2008;10;0,0009459157472553061
2008;11;0,0025220793085588885
2008;12;1,8532447485188123e-05
2009;01;0,005612999031306267
2009;02;0,00011031413459549522
2009;03;0,0021739144039302103
2009;04;9,479567343728232e-07
2009;05;6,89810977000479e-07
2009;06;1,8885649669288025e-06
2009;07;8,441295151541943e-06
2009;08;1,0596065522997049e-06
2009;09;0,00035789408398573334
2009;10;0,002148789639169976
2009;11;0,010258721642866338
2009;12;0,002222649193882626
2010;01;0,0016824845301710236
2010;02;0,003265222799436542
2010;03;0,005711563775030254
2010;04;2,8997188169264804e-05
2010;05;2,055210024259159e-06
2010;06;1,234548305229723e-06
2010;07;8,178171376809801e-07
2010;08;2,4847418078759517e-05
2010;09;0,00022818567841662715
2010;10;0,0002206968439199264
2010;11;0,002493919849596743
2010;12;0,0022095072280527606
2011;01;0,0024148077754241716
2011;02;0,00010905439142689345
2011;03;9,399207920634361e-05
2011;04;0,0007566678835785676
2011;05;2,6454606540636923e-06
2011;06;9,781590768400501e-05
2011;07;3,6268412192808684e-06
2011;08;1,1406771207306889e-05
2011;09;0,00013079598383799906
2011;10;0,0007937875367399017
2011;11;0,007706711886407447
2011;12;0,00947562048710725
2012;01;0,002324030073141582
2012;02;0,0002942846920692921
2012;03;0,0009357605918413198
2012;04;0,0023475744359143036
2012;05;7,893713241964244e-07
2012;06;7,568956871348898e-07
2012;07;3,463277791744672e-06
2012;08;1,5246956027721924e-05
2012;09;0,00042463317748630674
2012;10;0,0012296769596704927
2012;11;0,002313653751527754
2012;12;0,0010432288751859719
2013;01;0,001797896306931238
2013;02;0,0009931972609152336
2013;03;0,00019896424241772575
2013;04;0,000464417966322698
2013;05;5,795834497478251e-06
2013;06;9,259112289222923e-07
2013;07;3,5941285337736295e-05
2013;08;3,591283952425174e-06
2013;09;0,0008971932838220675
2013;10;0,002178309282113574
2013;11;0,006444797760411798
2013;12;0,006489848343421072
2014;01;0,0016173365058380195
2014;02;0,0016068811454995804
2014;03;0,00014744887419719516
2014;04;0,0005059663955951317
2014;05;1,15916689949565e-06
2014;06;3,654409953516317e-05
2014;07;9,173774848769255e-07
2014;08;0,0001550012376773447
2014;09;3,4545307040981706e-05
2014;10;7,225236625077182e-06
2014;11;6,082354953801439e-05
2014;12;0,00202780959442016
2015;01;0,003596574873733301
2015;02;0,009852167879421414
2015;03;0,00013541629509322803
2015;04;0,0006952711508988393
2015;05;3,847296273786176e-06
2015;06;9,259112289222922e-07
2015;07;6,97704690242443e-05
2015;08;1,2729501534338734e-06
2015;09;4,622207642794618e-05
2015;10;0,00010529929006645456
2015;11;0,008441113809480979
2015;12;0,002927500894763063
2016;01;0,011268311210170811
2016;02;0,0070017361519713155
2016;03;0,0011495024343642721
2016;04;0,00010522319751538335
2016;05;4,16731167548743e-06
2016;06;1,131669279793913e-06
2016;07;5,027086388058129e-05
2016;08;0,00024114938381532207
2016;09;6,358658622114758e-05
2016;10;5,802234805512276e-05
2016;11;0,0026567406043525466
2016;12;0,003362295153874499
2017;01;0,0009039226150987308
2017;02;0,0023194391220295566
2017;03;0,0003037799536549429
2017;04;0,0002151053451826455
2017;05;8,035942309387024e-07
2017;06;8,744717162043872e-07
2017;07;0,00023590113122742148
2017;08;9,956034719594542e-07
2017;09;7,811457431304735e-06
2017;10;0,0012086910607722616
2017;11;0,005447914700942431
2017;12;0,00023649849331059715
