Ano;Mes;MDQI
2008;01;4,9785638953298296e-05
2008;02;1,0598658316636614e-05
2008;03;9,12366202609029e-06
2008;04;6,106342543026464e-06
2008;05;0,001996702307992755
2008;06;3,8682019289297354e-06
2008;07;4,811557263623769e-06
2008;08;3,115396789396686e-06
2008;09;4,481391138271305e-06
2008;10;0,001083065221296623
2008;11;0,0006748249447005532
2008;12;1,0547843415528775e-05
2009;01;0,00045501111870278915
2009;02;5,9840696947351395e-06
2009;03;5,681890334947288e-06
2009;04;4,0368289614986665e-06
2009;05;3,001660081212362e-06
2009;06;4,384302846792224e-06
2009;07;3,936279118031366e-06
2009;08;3,075836195245616e-06
2009;09;8,599978661015514e-06
2009;10;4,989579937303579e-06
2009;11;0,0008003754353132395
2009;12;9,578608858827587e-06
2010;01;0,00045950124613893537
2010;02;9,159513814539696e-06
2010;03;7,150577392805724e-06
2010;04;6,121672273260005e-06
2010;05;7,442336774669858e-06
2010;06;4,496720868504845e-06
2010;07;1,4538518350517864e-05
2010;08;6,745081302757268e-06
2010;09;6,489585798864944e-06
2010;10;9,415421407954426e-06
2010;11;0,00012127349587752897
2010;12;9,682455418474142e-06
2011;01;0,0004543929844191786
2011;02;5,940270465496456e-06
2011;03;6,957719496319262e-05
2011;04;4,3791929367143776e-06
2011;05;3,2983645373453794e-06
2011;06;3,806883007995578e-06
2011;07;0,0025237631587931787
2011;08;3,293419463076496e-06
2011;09;1,1374659833286118e-05
2011;10;5,775846746056078e-06
2011;11;5,513592973996281e-06
2011;12;7,724206007996226e-06
2012;01;0,0004541852912998855
2012;02;5,3706916956123685e-06
2012;03;4,020345380602389e-06
2012;04;0,002346690433880421
2012;05;4,5890289215240066e-06
2012;06;3,740454176983575e-06
2012;07;3,975839712182435e-06
2012;08;7,140687244267957e-06
2012;09;7,041456087272358e-06
2012;10;0,0039989876048350794
2012;11;0,00039523621479118655
2012;12;6,295079544288858e-06
2013;01;0,0004548083706577648
2013;02;5,25043260498719e-06
2013;03;0,00018754688672168043
2013;04;7,964305847331421e-05
2013;05;7,659920042500738e-06
2013;06;3,5002884033247932e-06
2013;07;4,153862385862247e-06
2013;08;1,9340185465603864e-05
2013;09;4,6960073615408555e-06
2013;10;1,0676415346519752e-05
2013;11;8,08387774315303e-06
2013;12;6,463212069430901e-06
2014;01;0,0006446052661717875
2014;02;0,0030482675828063847
2014;03;5,558263478225197e-06
2014;04;6,423156967852943e-06
2014;05;1,237752089501572e-05
2014;06;7,85393178964994e-06
2014;07;2,0309420022305058e-05
2014;08;4,707710703977213e-06
2014;09;5,145679448391339e-06
2014;10;6,661015040186245e-06
2014;11;0,0008238656919410996
2014;12;0,0007868602176647627
2015;01;0,003320582756035472
2015;02;0,00046080074101287994
2015;03;8,45113192552212e-06
2015;04;1,5130443740503232e-05
2015;05;7,02793955093741e-05
2015;06;3,6331460653488002e-06
2015;07;3,753311370082673e-06
2015;08;3,931334043762484e-06
2015;09;0,0003365182380866534
2015;10;3,7706191300237656e-05
2015;11;7,327611051631759e-06
2015;12;7,956624498633756e-06
2016;01;0,0004576320080652974
2016;02;0,0022653323838627035
2016;03;0,0014723414677431422
2016;04;1,5099784280036153e-05
2016;05;7,708876277762685e-05
2016;06;9,811027349465115e-06
2016;07;6,527498034926387e-06
2016;08;2,7247359221548787e-06
2016;09;0,0014387156220579693
2016;10;6,256507964991566e-05
2016;11;0,0030710968360663166
2016;12;6,077496276457978e-06
2017;01;0,00045445727038467403
2017;02;9,318286020529926e-06
2017;03;0,00012744445405766885
2017;04;1,83752366399357e-05
2017;05;3,090671418052267e-06
2017;06;2,2994595350308862e-06
2017;07;2,601109065432788e-06
2017;08;2,660449956659391e-06
2017;09;1,9003755579510814e-05
2017;10;4,321994911004291e-06
2017;11;0,00048176232213935995
2017;12;7,506622740165346e-06
