Ano;Mes;MDQI
2008;01;7,240843380927102e-05
2008;02;4,943259911342812e-06
2008;03;3,2492364405260212e-06
2008;04;5,064964471909846e-06
2008;05;0,0010884831180320513
2008;06;2,314757518836626e-06
2008;07;1,3751034765366094e-06
2008;08;1,6634316248426728e-06
2008;09;4,503463885657396e-06
2008;10;9,191014204464049e-05
2008;11;4,0680144514208024e-06
2008;12;1,47490937402717e-05
2009;01;0,00045379523680124664
2009;02;5,586357873429975e-06
2009;03;4,01441498795365e-06
2009;04;7,47024963628513e-05
2009;05;2,5395056139264803e-06
2009;06;2,372053497025651e-06
2009;07;1,7410584340019972e-06
2009;08;1,8741329639894114e-06
2009;09;3,3460851262390827e-06
2009;10;2,8721919388950152e-06
2009;11;0,0006923073044579938
2009;12;0,001685266937304774
2010;01;0,0004743219830518053
2010;02;0,0013883265697886623
2010;03;3,966729948041493e-05
2010;04;4,858698950429353e-06
2010;05;0,0001326863959416172
2010;06;2,3835126926634564e-06
2010;07;1,596894359848966e-06
2010;08;1,918491140651883e-06
2010;09;2,463727062128092e-06
2010;10;0,00020542271612390442
2010;11;0,0005723868221083635
2010;12;8,394784933372689e-06
2011;01;0,00045314095369547523
2011;02;4,555030266027519e-06
2011;03;0,0010007537341378489
2011;04;3,850289734302506e-06
2011;05;3,1494305430354613e-06
2011;06;2,2689207362854055e-06
2011;07;1,5192675506896413e-06
2011;08;2,1181029356330032e-06
2011;09;2,9793908658293207e-06
2011;10;3,0718037338761356e-06
2011;11;0,000901987666238551
2011;12;4,2805640479284776e-06
2012;01;0,0004512446416431546
2012;02;2,6198092096085404e-06
2012;03;2,384251995607831e-06
2012;04;0,0005258854062101506
2012;05;2,561684702257716e-06
2012;06;2,074114410442719e-06
2012;07;2,018297038142443e-06
2012;08;1,596894359848966e-06
2012;09;3,277329952412253e-06
2012;10;5,700025701127559e-06
2012;11;9,740316292134317e-06
2012;12;5,68893615696194e-06
2013;01;0,0005339726411186635
2013;02;4,9847501024452096e-06
2013;03;1,8064867445791424e-05
2013;04;3,861748929940312e-06
2013;05;2,7502069530732193e-06
2013;06;2,3147575188366256e-06
2013;07;1,8852225081550294e-06
2013;08;1,9961179498112073e-06
2013;09;3,7356977779244555e-06
2013;10;5,84418977528059e-06
2013;11;3,380462713152498e-06
2013;12;4,125310429609828e-06
2014;01;0,0004549596389386365
2014;02;5,8564674848925245e-06
2014;03;3,75935547214444e-06
2014;04;3,598187430270795e-06
2014;05;2,4507892606015377e-06
2014;06;1,89535095849296e-05
2014;07;2,0737447589705317e-06
2014;08;1,5525361831864947e-06
2014;09;0,002730955504401706
2014;10;4,957026242031165e-06
2014;11;0,002138079640492947
2014;12;8,0288299759073e-06
2015;01;0,00046213457401379126
2015;02;3,437758691341524e-06
2015;03;0,0002601717956695596
2015;04;0,0009641881801605571
2015;05;2,3731624514422133e-06
2015;06;2,0626552148049144e-06
2015;07;1,3861930207022274e-06
2015;08;1,7077898015051441e-06
2015;09;2,5554006272305323e-06
2015;10;0,0051999648860673545
2015;11;4,274279972901294e-06
2015;12;4,535623563737687e-06
2016;01;0,0004542720872003682
2016;02;1,2707852817648666e-05
2016;03;2,9165501155574867e-06
2016;04;4,045096060145193e-06
2016;05;4,668698093725101e-06
2016;06;2,3949718883012613e-06
2016;07;1,6936087200617324e-06
2016;08;1,5525361831864947e-06
2016;09;0,0003364534431215949
2016;10;4,535623563737687e-06
2016;11;0,0009063536197765549
2016;12;5,755473421955647e-06
2017;01;0,00045136662662897633
2017;02;0,00012542908139551786
2017;03;2,7058487764107478e-06
2017;04;1,0897695051552628e-05
2017;05;3,448848235507141e-06
2017;06;2,2345431493719907e-06
2017;07;1,7965061548300865e-06
2017;08;1,940670228983118e-06
2017;09;2,326216714474431e-06
2017;10;3,1937887196979315e-06
2017;11;4,285739168539099e-06
2017;12;4,846130800374987e-06
