Ano;Mes;MDQI
2008;01;0,00010262339405219346
2008;02;7,717175545045972e-06
2008;03;5,367339376159024e-06
2008;04;0,0014183504808736856
2008;05;3,615191397991409e-06
2008;06;3,7471569735622604e-06
2008;07;7,241472340148435e-06
2008;08;3,4710273238383775e-06
2008;09;5,832730579642785e-06
2008;10;5,145548492846668e-06
2008;11;0,00010779665336483238
2008;12;1,0280007441527719e-05
2009;01;0,0004548820121294772
2009;02;1,1553324744829905e-05
2009;03;0,0037731397755423027
2009;04;4,549300668208616e-06
2009;05;4,790683079546898e-06
2009;06;5,087882863185455e-06
2009;07;0,0014743992549955513
2009;08;5,799831598618119e-06
2009;09;0,0026536288522377976
2009;10;7,67396456260753e-06
2009;11;6,520282317911089e-06
2009;12;0,00281440432424798
2010;01;0,0004576543981708817
2010;02;6,200243354026676e-06
2010;03;4,879399432871841e-06
2010;04;5,832730579642785e-06
2010;05;4,469086298743981e-06
2010;06;4,4576271031061765e-06
2010;07;2,140282023964239e-05
2010;08;0,0012056774207743002
2010;09;4,492004690019591e-06
2010;10;0,0015689708876399401
2010;11;7,070323708525733e-06
2010;12;7,141666442657876e-06
2011;01;0,0005651675288565464
2011;02;1,6108355010857424e-05
2011;03;6,820069661854959e-06
2011;04;5,1910156239257015e-06
2011;05;4,480175842909598e-06
2011;06;4,9434969981491105e-05
2011;07;3,6817286629851157e-06
2011;08;3,4932064121696135e-06
2011;09;3,4262994957037185e-06
2011;10;5,300802111165317e-06
2011;11;6,107751274950108e-06
2011;12;8,48350128669763e-06
2012;01;0,0006456887090430975
2012;02;5,761209393075794e-06
2012;03;5,899637496108679e-06
2012;04;3,644024212822015e-06
2012;05;6,997502368504844e-06
2012;06;2,7158293661598037e-06
2012;07;4,0365940762848865e-06
2012;08;3,6484600304882623e-06
2012;09;8,342294424322097e-06
2012;10;1,4427496959468783e-05
2012;11;0,0018697625746337408
2012;12;8,550038551691339e-06
2013;01;0,00045696684643261335
2013;02;0,0001102169991863316
2013;03;7,008591912670461e-06
2013;04;5,202474819563506e-06
2013;05;2,9165501155574863e-06
2013;06;5,4087403410439975e-06
2013;07;0,0009415022996609526
2013;08;3,064041052960203e-05
2013;09;4,30865755981471e-06
2013;10;6,010532937764858e-06
2013;11;7,700579468605015e-06
2013;12;7,917934534251121e-06
2014;01;0,0033010246117794557
2014;02;7,366625767160408e-06
2014;03;7,973382255079211e-06
2014;04;7,19637486054159e-06
2014;05;6,431935616058336e-06
2014;06;4,938913319893989e-06
2014;07;4,103131341278592e-06
2014;08;4,480175842909599e-06
2014;09;7,310966816919639e-06
2014;10;8,0288299759073e-06
2014;11;9,087142140779427e-06
2014;12;0,0025512383516537035
2015;01;0,0024476287405143372
2015;02;7,698123926682626e-06
2015;03;7,152755986823493e-06
2015;04;6,325475992068404e-06
2015;05;0,00011087326256784693
2015;06;0,00035402039003435006
2015;07;3,2935946171884923e-06
2015;08;4,735235358718809e-06
2015;09;7,081782904163538e-06
2015;10;1,0435261059846367e-05
2015;11;7,4026403820220815e-06
2015;12;0,006022531824552055
2016;01;0,00045433862446536195
2016;02;5,618957309296145e-06
2016;03;0,001562705295186366
2016;04;3,6669426040976247e-06
2016;05;4,114220885444211e-06
2016;06;3,827371343026897e-06
2016;07;3,6928182071507334e-06
2016;08;4,457996754578363e-06
2016;09;4,068014451420803e-06
2016;10;0,0014917433020705778
2016;11;5,133719645736674e-05
2016;12;0,0023167388507275496
2017;01;0,00045483765395281473
2017;02;6,961461349966585e-06
2017;03;6,553920601880131e-06
2017;04;3,5065138651683546e-06
2017;05;5,112279860349815e-06
2017;06;6,7609254263049976e-06
2017;07;1,0701410119821196e-05
2017;08;4,4247281220815095e-06
2017;09;7,563069120951352e-06
2017;10;5,844189775280591e-06
2017;11;0,002658923000622463
2017;12;8,372605845041453e-06
