Ano;Mes;MDQI
2008;01;0,003279453117211936
2008;02;0,005625538265632569
2008;03;1,9370408478767462e-05
2008;04;0,00016762288550417777
2008;05;9,489358087307725e-05
2008;06;1,1541662555937536e-05
2008;07;0,005115868703760417
2008;08;9,210889339824655e-06
2008;09;8,158216272416123e-06
2008;10;0,0018663526273618128
2008;11;1,577887565866529e-05
2008;12;1,4351850831819809e-05
2009;01;0,0008495132855909377
2009;02;1,5855669499546283e-05
2009;03;1,0618533557870948e-05
2009;04;0,0007621924225981326
2009;05;0,00035298208815573884
2009;06;1,3375680167565968e-05
2009;07;0,0006550441767717162
2009;08;7,8185456024093e-05
2009;09;9,26495103805397e-06
2009;10;1,1108148938060963e-05
2009;11;0,005516124176905545
2009;12;1,9125600788672457e-05
2010;01;0,0004605444669912327
2010;02;0,0001070596487576202
2010;03;0,00015973701778699236
2010;04;2,2197937299364802e-05
2010;05;1,196497585339349e-05
2010;06;0,0013192278406403122
2010;07;1,0771538364180327e-05
2010;08;0,002232340124053849
2010;09;0,0011681743556273983
2010;10;0,0014003611892659663
2010;11;1,4008100033644737e-05
2010;12;1,940100944002934e-05
2011;01;0,00045999364968851887
2011;02;1,236606702421879e-05
2011;03;1,2301586427274125e-05
2011;04;0,0012538988684743758
2011;05;7,436033586635852e-06
2011;06;0,00014223122788111517
2011;07;1,1383557589417846e-05
2011;08;0,0013822148192376735
2011;09;0,0005638971735891344
2011;10;1,2087379698440993e-05
2011;11;2,4790858750287753e-05
2011;12;1,9156201749934332e-05
2012;01;0,0004603914621849233
2012;02;8,766647798747075e-06
2012;03;1,1903773930869736e-05
2012;04;0,003840907193649493
2012;05;8,04805281187337e-06
2012;06;1,1130589642986339e-05
2012;07;0,0007507779895866815
2012;08;0,0006859817486074727
2012;09;0,00017002608099527704
2012;10;0,004759520509865872
2012;11;1,5367802745714093e-05
2012;12;1,4627259483176695e-05
2013;01;0,00046201331313180266
2013;02;9,90301751007987e-05
2013;03;0,0025131651455540843
2013;04;1,1383557589417846e-05
2013;05;0,0003196576413415559
2013;06;8,632531171975199e-06
2013;07;0,0004629007410083972
2013;08;9,0272835722534e-06
2013;09;0,0002456318759849939
2013;10;0,002308138705099516
2013;11;1,4672140893027445e-05
2013;12;0,00020998379617899265
2014;01;0,005697807184077512
2014;02;0,00017983310620425571
2014;03;1,3250216226392279e-05
2014;04;0,0005678814187454306
2014;05;1,0067716255157182e-05
2014;06;9,4546769978776e-05
2014;07;1,315841334260665e-05
2014;08;3,396706700068228e-05
2014;09;5,628536808101046e-05
2014;10;9,853509526324048e-06
2014;11;0,0003988355885425758
2014;12;0,005024096420936052
2015;01;0,003924542680874327
2015;02;0,003501494227452154
2015;03;0,0006598179267285688
2015;04;1,005547587065243e-05
2015;05;8,531547999811009e-05
2015;06;0,000606775240509275
2015;07;0,00026632016586210623
2015;08;1,4413052754343561e-05
2015;09;1,3818374073821107e-05
2015;10;3,653754774667986e-05
2015;11;9,64440295770123e-06
2015;12;0,003154224683029124
2016;01;0,000463665765039944
2016;02;0,00012129376879759013
2016;03;1,346442295522541e-05
2016;04;0,004224722810372698
2016;05;1,2087379698440993e-05
2016;06;0,00045948465369952975
2016;07;0,0017950829885829036
2016;08;0,0015421048418309752
2016;09;6,450682634003445e-06
2016;10;1,5698293127342353e-05
2016;11;1,8055587176548857e-05
2016;12;4,6054446699123264e-05
2017;01;0,0004609422794876371
2017;02;0,0004163129632701383
2017;03;0,00039570103007731763
2017;04;0,002868561649553385
2017;05;9,210889339824655e-06
2017;06;2,6530013382004365e-05
2017;07;0,0001863904550460863
2017;08;7,527836470421479e-06
2017;09;0,0005323394222718038
2017;10;2,3899350745525105e-05
2017;11;0,0024319073530192988
2017;12;1,5178076785890462e-05
