Ano;Mes;MDQI
2008;01;0,021031470177040733
2008;02;0,026711387038079435
2008;03;0,01576286115560491
2008;04;0,012403903801349331
2008;05;0,027394561939895302
2008;06;0,03926989023720805
2008;07;0,017116525277985253
2008;08;0,01930590165242743
2008;09;0,015911683830541833
2008;10;0,023476384258963447
2008;11;0,01540113127265644
2008;12;0,011187986845993196
2009;01;0,030526233714474434
2009;02;0,018303473177627948
2009;03;0,02019452296651104
2009;04;0,05765885754616031
2009;05;0,049824638131392686
2009;06;0,047167328177846586
2009;07;0,008072625383766654
2009;08;0,004036909410627933
2009;09;0,0018467924929232212
2009;10;0,0012813846518797925
2009;11;0,0060032771997460205
2009;12;0,00014165184968122364
2010;01;0,009384488593063277
2010;02;0,005191512094216827
2010;03;0,0040955408524056885
2010;04;0,00861415937486561
2010;05;0,0047338463033671585
2010;06;0,008795821981396737
2010;07;0,005410770167441116
2010;08;0,003556719126506577
2010;09;0,0005930201084220618
2010;10;0,001177004773015534
2010;11;0,0008825419231129223
2010;12;0,0004856678561872328
2011;01;0,006582113762623203
2011;02;0,01070267855110079
2011;03;0,0026844081247755416
2011;04;0,010881068384824957
2011;05;0,007601615388023861
2011;06;0,012435082100747015
2011;07;0,008831376218254867
2011;08;0,008947170255669807
2011;09;0,011299793578155711
2011;10;0,005290171779108063
2011;11;0,008984630932414554
2011;12;0,009330355492591017
2012;01;0,0033043529989798866
2012;02;9,427417520891443e-05
2012;03;0,004538183757058723
2012;04;0,0020534356841644596
2012;05;0,007433187697238496
2012;06;0,005126205708474679
2012;07;0,010845925268981151
2012;08;0,007548461518311983
2012;09;0,008792565019086433
2012;10;0,013098527261417156
2012;11;0,007911256314712364
2012;12;0,005639757160563734
2013;01;0,00796292093764283
2013;02;0,006592773826057072
2013;03;0,006466809340588453
2013;04;0,006394428886915739
2013;05;0,020042895203458446
2013;06;0,01633581621372756
2013;07;0,006572627464632021
2013;08;0,014441175037743224
2013;09;0,009273931400152287
2013;10;0,005226001563341909
2013;11;0,004463840761737081
2013;12;0,016578223768427592
2014;01;0,007703730795754741
2014;02;0,004332798848200802
2014;03;0,012549087001960176
2014;04;0,014485482169554299
2014;05;0,01649694761531605
2014;06;0,017720531131500326
2014;07;0,009274906550784499
2014;08;0,0029521053338944325
2014;09;0,008323214615476072
2014;10;0,008142885190823922
2014;11;0,0005473910150844787
2014;12;0,00770550565150793
2015;01;0,014632216838901117
2015;02;0,008949746200873174
2015;03;0,015711420939723695
2015;04;0,009201519325486266
2015;05;0,014907533687374215
2015;06;0,014221099044540067
2015;07;0,025039756768871428
2015;08;0,021617437064227012
2015;09;0,012290257951414975
2015;10;0,017998659188281346
2015;11;0,031489007277887816
2015;12;0,025724483878067167
2016;01;0,003650541673735489
2016;02;7,984845998784184e-05
2016;03;0,003370726483956896
2016;04;0,00016819206338364865
2016;05;0,0012009653256835828
2016;06;0,009763993554376724
2016;07;0,009514328471697416
2016;08;0,0023144731040807237
2016;09;0,0064688963261465135
2016;10;0,006340274365770597
2016;11;0,0018019855454115407
2016;12;0,004176082582446947
2017;01;0,0029628156703360893
2017;02;0,0012029303445531842
2017;03;0,00607802412775632
2017;04;0,00127328253736969
2017;05;0,012158496332413593
2017;06;0,00945780747621469
2017;07;0,015217796833608375
2017;08;0,009717304647747439
2017;09;0,009616671346573675
2017;10;0,018406784208630986
2017;11;0,006406761074304274
2017;12;0,004635066400413822
