Ano;Mes;MDQI
2008;01;7,802825968624286e-06
2008;02;3,9593496652002365e-06
2008;03;5,112279860349815e-06
2008;04;5,523332297422048e-06
2008;05;0,00042313264718331356
2008;06;3,964881690680557e-06
2008;07;3,6484600304882623e-06
2008;08;2,5173265255952448e-06
2008;09;0,00031172449893521144
2008;10;4,923757609534312e-06
2008;11;6,222343231328157e-06
2008;12;1,0479619236508838e-05
2009;01;0,0004565343542101543
2009;02;0,00010728262658907939
2009;03;0,0010097917126328274
2009;04;3,3002483436878626e-06
2009;05;3,238146896360403e-06
2009;06;3,838830538664701e-06
2009;07;3,1383409988698426e-06
2009;08;2,6836696880795122e-06
2009;09;3,2658707567744475e-06
2009;10;5,955085216936769e-06
2009;11;7,734957055518428e-06
2009;12;0,0024717374095303904
2010;01;0,0017477454291338647
2010;02;2,0209110021243383e-05
2010;03;5,156638037012285e-06
2010;04;6,325475992068403e-06
2010;05;5,777652510286885e-06
2010;06;4,469086298743981e-06
2010;07;4,735235358718809e-06
2010;08;8,066534426070401e-05
2010;09;5,706679427626929e-06
2010;10;2,0870522119692738e-05
2010;11;5,351444362854971e-06
2010;12;8,705292170009988e-06
2011;01;0,0004555806534119112
2011;02;0,00017345948139740373
2011;03;6,021622481930475e-06
2011;04;3,1741971916720073e-06
2011;05;3,3601318821821985e-06
2011;06;3,6669426040976256e-06
2011;07;2,69475923224513e-06
2011;08;2,328804274779742e-06
2011;09;2,750206953073219e-06
2011;10;3,970056811291179e-06
2011;11;5,156638037012286e-06
2011;12;0,000522583679260574
2012;01;0,0007903407231394163
2012;02;7,539360440321409e-06
2012;03;2,8721919388950152e-06
2012;04;3,621105821546405e-06
2012;05;4,446907210412745e-06
2012;06;3,277329952412252e-06
2012;07;3,215967808029168e-06
2012;08;2,007207493976825e-06
2012;09;4,388871929279345e-06
2012;10;4,87939943287184e-06
2012;11;0,003726828360500793
2012;12;3,999998580538347e-05
2013;01;0,002491110843187724
2013;02;9,220559918562444e-06
2013;03;7,1194873543266395e-06
2013;04;3,6898609953732354e-06
2013;05;3,593012309660174e-06
2013;06;3,2314931698610323e-06
2013;07;0,0014120649272406135
2013;08;2,0959238473017677e-06
2013;09;4,973290906807403e-06
2013;10;8,69420262584437e-06
2013;11;9,144438118968453e-06
2013;12;0,00017827551200647206
2014;01;0,0004578318308775316
2014;02;6,065188548295401e-06
2014;03;4,391459489584657e-06
2014;04;3,987800081956167e-06
2014;05;5,356249831993407e-06
2014;06;3,3002483436878626e-06
2014;07;4,690877182056338e-06
2014;08;3,814803192972529e-06
2014;09;1,1814430702577037e-05
2014;10;5,866368863611826e-06
2014;11;0,0007456498601519765
2014;12;0,005061833523940419
2015;01;0,002374071794063794
2015;02;4,819001022684099e-05
2015;03;0,0007625725045487092
2015;04;4,068014451420803e-06
2015;05;3,1383409988698426e-06
2015;06;3,827371343026896e-06
2015;07;3,238146896360403e-06
2015;08;3,1826991755323146e-06
2015;09;5,763975405815955e-06
2015;10;0,0017072020556643658
2015;11;8,26208005485746e-06
2015;12;0,005149385475127972
2016;01;0,00046151355954051655
2016;02;5,500413906146437e-06
2016;03;0,0032369048674138535
2016;04;4,30865755981471e-06
2016;05;3,825892737138147e-06
2016;06;4,732647798413497e-06
2016;07;3,881340457966237e-06
2016;08;5,223175302005992e-06
2016;09;4,37741273364154e-06
2016;10;0,006615301228836824
2016;11;0,000579835299272937
2016;12;1,4993063711915291e-05
2017;01;0,0004550816239244583
2017;02;0,0027711895588000135
2017;03;3,238146896360403e-06
2017;04;5,191015623925701e-06
2017;05;3,6262809421570272e-06
2017;06;3,048146039656151e-06
2017;07;3,1272514547042244e-06
2017;08;2,6393115114170407e-06
2017;09;0,003154556130348808
2017;10;4,9015785212030754e-06
2017;11;8,53251707190966e-05
2017;12;0,0017699466965534318
