Ano;Mes;MDQI
2008;01;0,0029377024053895877
2008;02;0,000867524332930191
2008;03;1,0202380632368392e-06
2008;04;8,040917579047823e-05
2008;05;7,98447179924483e-07
2008;06;1,6535619305352728e-05
2008;07;3,679510754151992e-05
2008;08;0,0006007871447165109
2008;09;1,168837955056118e-06
2008;10;0,0001846630894458679
2008;11;7,565360960078912e-05
2008;12;0,0016919539324366415
2009;01;0,006364655351605531
2009;02;1,1418269939098633e-05
2009;03;0,00012023283784362838
2009;04;7,563069120951352e-07
2009;05;6,210144732745978e-07
2009;06;3,8984183559812876e-05
2009;07;5,43387664115273e-07
2009;08;6,321040174402156e-07
2009;09;5,860232649173517e-05
2009;10;0,0007912278866726658
2009;11;0,003017893763172346
2009;12;0,00030542822540944594
2010;01;0,0026512327713950797
2010;02;0,002664471706853083
2010;03;1,4416407415303165e-06
2010;04;9,480192551156141e-05
2010;05;0,00013533679699719988
2010;06;8,101651315928191e-05
2010;07;7,540890032620118e-07
2010;08;1,899638915570332e-05
2010;09;1,3441636483145356e-05
2010;10;0,0005858938869020862
2010;11;0,0012470469652841375
2010;12;0,0043001925411016205
2011;01;0,004982753984495397
2011;02;0,00021004705604096708
2011;03;2,572774246423334e-06
2011;04;4,3522025032383685e-05
2011;05;9,537007982431323e-07
2011;06;6,302557600792794e-07
2011;07;8,649844449181898e-07
2011;08;6,764621941026869e-07
2011;09;0,00014301076155980735
2011;10;0,0005888658847384718
2011;11;0,0003790243549160408
2011;12;0,004074609033684624
2012;01;0,0009334069324200519
2012;02;0,0015822106561794635
2012;03;7,429994590963938e-07
2012;04;0,0006121502309715473
2012;05;0,00011575266200071878
2012;06;5,958781731658641e-07
2012;07;1,927362775984377e-05
2012;08;0,0004785138307464088
2012;09;9,052764553866013e-07
2012;10;0,0012492371502568472
2012;11;0,001798692643288074
2012;12;0,002033789131341811
2013;01;0,003032857254766486
2013;02;0,0008518888814240414
2013;03;0,0011580367390388062
2013;04;4,860990789556914e-05
2013;05;7,097308265995404e-07
2013;06;8,823580641109911e-07
2013;07;0,00010526195322004433
2013;08;7,31909914930776e-07
2013;09;1,71544158697942e-05
2013;10;0,0003926031320953676
2013;11;0,0011312517933641175
2013;12;0,0017249342367851887
2014;01;0,003136733014965828
2014;02;7,10388278146502e-05
2014;03;9,758798865743683e-07
2014;04;6,875517382683046e-07
2014;05;4,5932891933989e-05
2014;06;4,927454124256184e-07
2014;07;8,649844449181898e-07
2014;08;5,433876641152731e-07
2014;09;1,8953509584929598e-05
2014;10;0,0002232990613188804
2014;11;2,658533387970778e-06
2014;12;0,003730422851416343
2015;01;0,0004959355046305944
2015;02;0,0005389177857062316
2015;03;9,980589749056036e-07
2015;04;6,110043114077667e-05
2015;05;7,540890032620117e-07
2015;06;7,677661077329403e-07
2015;07;9,91405248406233e-06
2015;08;7,097308265995404e-07
2015;09;1,0198684117646518e-06
2015;10;0,0007319320940191071
2015;11;0,001007813337953681
2015;12;0,010086151119968552
2016;01;0,0019347151437661813
2016;02;0,000597423188853582
2016;03;3,227057352194785e-06
2016;04;7,792253033707455e-07
2016;05;3,209314081529797e-05
2016;06;1,8334713020488124e-06
2016;07;6,210144732745978e-07
2016;08;7,651785474276296e-07
2016;09;9,052764553866013e-07
2016;10;0,0015350479720373151
2016;11;0,0011658929417772022
2016;12;0,000563470828599207
2017;01;0,0009624393590456392
2017;02;0,004297198364176905
2017;03;0,0005675961390288169
2017;04;1,042786803040262e-06
2017;05;0,00017785410932817853
2017;06;1,1344603681427027e-06
2017;07;0,0006319154951894
2017;08;6,764621941026869e-07
2017;09;0,0015834889492100947
2017;10;0,0002999943487682932
2017;11;0,0015051653470256967
2017;12;0,0014607036679510136
