Ano;Mes;MDQI
2008;01;0,00572177757868817
2008;02;0,003426082166131277
2008;03;0,0066844001785327884
2008;04;0,003916500966697744
2008;05;0,003624284824207215
2008;06;0,008324452456714034
2008;07;0,0017948870813819062
2008;08;0,010452727091907213
2008;09;0,0058510538334676345
2008;10;0,014971206220364856
2008;11;0,0018632652107071056
2008;12;0,004914897063745982
2009;01;0,008976897285714297
2009;02;0,0021269044692041644
2009;03;0,0025044404752747967
2009;04;0,008137312332753041
2009;05;0,004909995485224779
2009;06;0,004074993101564226
2009;07;0,002328072364864811
2009;08;0,00406808838171524
2009;09;0,004696746138480254
2009;10;0,007731197700046283
2009;11;0,005778964033710203
2009;12;0,005023230820699903
2010;01;0,016845782766120893
2010;02;0,006968742031766463
2010;03;0,006064927151897212
2010;04;0,004133778775186166
2010;05;0,009508818361162323
2010;06;0,005805022244590572
2010;07;0,003572053071187155
2010;08;0,007209190677082321
2010;09;0,0066896950662204
2010;10;0,003751803492567655
2010;11;0,005429126250083653
2010;12;0,005000308732909571
2011;01;0,018744889383571276
2011;02;0,02397825637272062
2011;03;0,022322453958208744
2011;04;0,009259625953519668
2011;05;0,010820667077778245
2011;06;0,005973243236553551
2011;07;0,014437111594260369
2011;08;0,015967856823161423
2011;09;0,016956996847346095
2011;10;0,006550249962761311
2011;11;0,04794402549625193
2011;12;0,009600528891411981
2012;01;0,005279088783689036
2012;02;0,0030387890137008673
2012;03;0,01069623130269585
2012;04;0,002431045436169072
2012;05;0,015033917592621425
2012;06;0,0074550547428694006
2012;07;0,010679730060977412
2012;08;0,01302734220266204
2012;09;0,0045433533456725956
2012;10;0,016106165617995015
2012;11;0,014419335054962885
2012;12;0,009992400113592419
2013;01;0,004590594434166656
2013;02;0,012348024054881558
2013;03;0,0074985501529957884
2013;04;0,007126691491868097
2013;05;0,010598077747285965
2013;06;0,014675940822880257
2013;07;0,008505891076368012
2013;08;0,008471446952189604
2013;09;0,014189910499098391
2013;10;0,007548563997182722
2013;11;0,014313245821748085
2013;12;0,0228452039806318
2014;01;0,0037122138198963993
2014;02;0,004325731761315038
2014;03;0,007605453358752344
2014;04;0,007017130122375042
2014;05;0,010262752110806017
2014;06;0,007431024809616923
2014;07;0,004050733245096048
2014;08;0,018209264400371933
2014;09;0,014261519012639034
2014;10;0,014274860473573214
2014;11;0,014532357101538558
2014;12;0,014002368194335656
2015;01;0,010989250328183969
2015;02;0,006435729824383571
2015;03;0,0035444511957589326
2015;04;0,002050015722016415
2015;05;0,002555530005245798
2015;06;0,005139793019424712
2015;07;0,0038305614352318715
2015;08;0,007441993477751136
2015;09;0,005546399658240948
2015;10;0,013225246207841658
2015;11;0,01644618028339966
2015;12;0,02245200201315149
2016;01;0,007935311849958646
2016;02;0,003014902517966201
2016;03;0,007788231225690056
2016;04;0,001216691556039592
2016;05;0,00399396586851225
2016;06;0,011161634704678193
2016;07;0,014190668654267845
2016;08;0,004161462343589743
2016;09;0,009529020183768827
2016;10;0,0027221836749667027
2016;11;0,0009205859407587087
2016;12;0,009366583867694107
2017;01;0,015143437930801067
2017;02;0,01058420829203112
2017;03;0,004726419171107142
2017;04;0,0039533766582602005
2017;05;0,0018065976400207988
2017;06;0,011852819007963682
2017;07;0,007324932249538876
2017;08;0,004003125831993051
2017;09;0,004053415436178239
2017;10;0,008731929255095802
2017;11;0,012982329003590854
2017;12;0,0023511053480967993
