Ano;Mes;MDQI
2008;01;2,7400405180166306e-05
2008;02;0,003384040179367885
2008;03;0,003061141310553924
2008;04;0,0011694114956050062
2008;05;2,723044581685892e-06
2008;06;0,0005805531048154321
2008;07;4,305507382970757e-06
2008;08;0,0035329746644418513
2008;09;9,576040112262053e-06
2008;10;1,1902340026401237e-05
2008;11;1,4659056664742387e-05
2008;12;2,217963731857057e-05
2009;01;0,0006210737649938741
2009;02;0,0016630022266724551
2009;03;0,0013750057535296806
2009;04;0,002116077944428106
2009;05;0,00336858182784104
2009;06;6,081466232431825e-06
2009;07;1,7611949633161977e-05
2009;08;3,908886576936199e-06
2009;09;7,769753873077077e-05
2009;10;1,6162587194522717e-05
2009;11;2,3055110791607214e-05
2009;12;2,3848600126700632e-05
2010;01;0,0004602823744527119
2010;02;0,0003298287749567036
2010;03;0,00012139508425451297
2010;04;0,0010216863270485464
2010;05;4,962968350492028e-06
2010;06;9,149429794464595e-05
2010;07;2,0642434732134986e-06
2010;08;3,996726724732519e-06
2010;09;8,03298151597338e-06
2010;10;7,86169322777056e-06
2010;11;1,8970543919078376e-05
2010;12;2,029107414094971e-05
2011;01;0,00046511358258150947
2011;02;1,0405920365728226e-05
2011;03;0,00039927739180816834
2011;04;6,3537706906004145e-06
2011;05;4,888304224865157e-05
2011;06;3,4945738798302276e-06
2011;07;4,611607759306752e-06
2011;08;5,7096096067607405e-06
2011;09;0,0005584510596274149
2011;10;1,1331379065725161e-05
2011;11;0,002735979043448899
2011;12;0,002757609679843743
2012;01;0,00046019453430491556
2012;02;6,90150954323838e-06
2012;03;0,002045972722471864
2012;04;6,308386614238982e-06
2012;05;3,337925616260125e-06
2012;06;1,7518253475512563e-05
2012;07;0,0004896649038905807
2012;08;0,0018904517407984812
2012;09;0,0007347228122152148
2012;10;1,058473780945645e-05
2012;11;0,003553709331329172
2012;12;1,68213883029951e-05
2013;01;0,0006696054466513404
2013;02;2,2465117798908604e-05
2013;03;4,699447907103071e-06
2013;04;4,039182796167405e-06
2013;05;4,743367981001231e-06
2013;06;4,3568713306974255e-06
2013;07;3,601446059649082e-06
2013;08;0,002414066861812339
2013;09;5,582241392456078e-06
2013;10;1,1111778696234363e-05
2013;11;2,3009726715245783e-05
2013;12;1,3966583499614735e-05
2014;01;0,0004796950471156984
2014;02;5,353700150778868e-05
2014;03;6,0917142496747285e-05
2014;04;2,4053560471558708e-06
2014;05;3,952806650834359e-06
2014;06;0,0014919107422293385
2014;07;4,128486946426997e-06
2014;08;5,533929311168102e-06
2014;09;0,002077410711368166
2014;10;1,0892178326743565e-05
2014;11;1,9469768759054126e-05
2014;12;3,4828618601240516e-05
2015;01;0,0026640599224406632
2015;02;5,0619453741696665e-05
2015;03;9,188079459494976e-05
2015;04;6,399154766961845e-06
2015;05;5,929209976251539e-06
2015;06;7,533756675997634e-06
2015;07;0,002798147908051744
2015;08;3,3818456901582845e-06
2015;09;0,0016931437368159254
2015;10;7,115051971501846e-06
2015;11;1,6837492330091095e-05
2015;12;2,007147377145891e-05
2016;01;0,00045914045253135974
2016;02;0,0019765547739478626
2016;03;0,00013896311381377677
2016;04;0,00036506951025135515
2016;05;2,986565025074849e-06
2016;06;3,676110185275954e-06
2016;07;4,875128202695709e-06
2016;08;1,0057696922678537e-05
2016;09;5,763777697901803e-06
2016;10;0,0014563896504629702
2016;11;1,3252150297538005e-05
2016;12;1,6909228450791423e-05
2017;01;0,0010689267585334069
2017;02;0,0009713975287203401
2017;03;1,5986906898930074e-05
2017;04;0,0016240237885174653
2017;05;2,8108847294822104e-06
2017;06;6,4899229196847085e-06
2017;07;3,86496650303804e-06
2017;08;0,0022347851201600516
2017;09;0,0015686552153565186
2017;10;1,1287458991827002e-05
2017;11;1,4114447748405204e-05
2017;12;0,00229043185378902
