Ano;Mes;MDQI
2008;01;3,2319596228720685e-05
2008;02;0,0009440559540036422
2008;03;0,00026216791361937086
2008;04;0,0001952532344725607
2008;05;0,0006839587259586446
2008;06;7,391181186384277e-06
2008;07;0,0005429440823486484
2008;08;0,00011136120251113414
2008;09;7,116160491076954e-06
2008;10;1,459384012195305e-05
2008;11;1,3361422113680723e-05
2008;12;1,1732737727223652e-05
2009;01;0,0005357358786409967
2009;02;9,048671983995369e-06
2009;03;0,0021118595222677605
2009;04;1,4026055460673415e-05
2009;05;5,090100772018579e-06
2009;06;0,001190782314702515
2009;07;0,0005544217605600628
2009;08;0,00038007194718821946
2009;09;0,004080321627535806
2009;10;7,995561343410447e-06
2009;11;9,087142140779425e-06
2009;12;0,00047474338573009876
2010;01;0,00045684486144679154
2010;02;8,520730470682204e-05
2010;03;6,7424428526956335e-06
2010;04;1,1058123790481902e-05
2010;05;7,219293251817201e-06
2010;06;6,268180013879377e-06
2010;07;1,3462706617060033e-05
2010;08;0,00035656211355710967
2010;09;0,0007782627309371697
2010;10;4,728581632219438e-05
2010;11;0,00012785024573099124
2010;12;8,727471258341222e-06
2011;01;0,0004613693954663636
2011;02;0,0002473221824227987
2011;03;7,563069120951352e-06
2011;04;0,0037457016557162592
2011;05;6,143607467752272e-06
2011;06;0,0003436841955690499
2011;07;0,00024509001560431943
2011;08;0,0015859711588458324
2011;09;9,029846162590402e-06
2011;10;8,59439672835381e-06
2011;11;8,651692706542835e-06
2011;12;3,320209523185975e-05
2012;01;0,000535758057729328
2012;02;0,0020138153327072346
2012;03;7,82921818092618e-06
2012;04;0,0004318512468063222
2012;05;0,0008313165888313741
2012;06;4,49200469001959e-06
2012;07;0,00014600493848452418
2012;08;0,0013570718777233147
2012;09;0,0015504750065775783
2012;10;0,0005628165454934354
2012;11;0,002173167697535906
2012;12;0,0010947487104856254
2013;01;0,0004574769654642318
2013;02;1,2068988548531133e-05
2013;03;0,0014772159992136181
2013;04;0,00023000897484202354
2013;05;0,000869220650789456
2013;06;5,981700122934251e-06
2013;07;0,00023874679634158598
2013;08;0,0004637203788294748
2013;09;0,00011404191498743612
2013;10;0,0007775433891722934
2013;11;1,0657051943158723e-05
2013;12;9,315217099118967e-06
2014;01;0,0020909224628830737
2014;02;0,00020598313415941692
2014;03;0,0002010867043551479
2014;04;0,0003952964127217239
2014;05;6,80898011768934e-06
2014;06;7,368262795108666e-06
2014;07;4,708620452721325e-05
2014;08;5,045742595356107e-06
2014;09;4,85067751348289e-05
2014;10;1,0401992427349514e-05
2014;11;1,4679229612028306e-05
2014;12;1,3473796161225651e-05
2015;01;0,00047217061148367533
2015;02;1,0521997137427449e-05
2015;03;0,0003541224138406738
2015;04;7,47139555584891e-06
2015;05;1,5880227245164713e-05
2015;06;0,0005717336479570087
2015;07;1,3252005277913294e-05
2015;08;0,0007561183898443195
2015;09;0,0002206811895928502
2015;10;1,5492093199368094e-05
2015;11;0,0008682517942808529
2015;12;0,0005262654079235591
2016;01;0,00045672287646096973
2016;02;0,00015041972425666408
2016;03;3,054060463211147e-05
2016;04;0,000633682059574983
2016;05;0,0008758743772888265
2016;06;5,500413906146437e-06
2016;07;0,00036986956655585105
2016;08;0,00037304117618721776
2016;09;6,898435773958657e-06
2016;10;0,004874841630219771
2016;11;9,385081227362358e-06
2016;12;1,887440416988153e-05
2017;01;0,0008205153728140626
2017;02;8,913617178264091e-06
2017;03;0,00021639027530370052
2017;04;5,148616600065822e-05
2017;05;0,0020188958735273864
2017;06;0,0014371091841327722
2017;07;0,0008337119303711474
2017;08;4,812862167878133e-06
2017;09;7,677661077329403e-06
2017;10;7,418905046798322e-06
2017;11;2,585194535888825e-05
2017;12;1,0246738809030865e-05
