Ano;Mes;MDQI
2008;01;0,0007905895563349707
2008;02;0,001451547883646294
2008;03;1,1043029459029892e-05
2008;04;3,3827301271711605e-05
2008;05;0,003093738107128861
2008;06;6,984748882034089e-06
2008;07;7,299482752569251e-06
2008;08;4,951678689814114e-06
2008;09;8,040583015364824e-06
2008;10;0,0002620066811507199
2008;11;1,098473588715245e-05
2008;12;1,2890084208404998e-05
2009;01;0,0004586590634033375
2009;02;1,320517827469277e-05
2009;03;6,615992916112746e-05
2009;04;9,36037568202824e-06
2009;05;6,091350769215775e-06
2009;06;8,527891076902085e-06
2009;07;6,425392585592126e-06
2009;08;6,798733439189221e-06
2009;09;5,807087733319039e-06
2009;10;7,486466590552292e-06
2009;11;0,0006231045746856457
2009;12;1,2850785171184252e-05
2010;01;0,00045954329174080423
2010;02;1,3988351945020511e-05
2010;03;1,218270153843155e-05
2010;04;7,796928984596192e-06
2010;05;8,488592039681339e-06
2010;06;5,807087733319039e-06
2010;07;5,796607990060173e-06
2010;08;0,001378629875222413
2010;09;7,573579456391614e-06
2010;10;1,0826884754315783e-05
2010;11;1,3502494205094968e-05
2010;12;1,2811486133963503e-05
2011;01;0,0004601327772991154
2011;02;1,0050728769206027e-05
2011;03;1,0394595344887566e-05
2011;04;0,000612058925290801
2011;05;5,5018652109045715e-06
2011;06;8,060887517928876e-06
2011;07;6,523640178643992e-06
2011;08;5,442916655073451e-06
2011;09;0,0008856824018439738
2011;10;8,842283374668062e-06
2011;11;9,766465733309292e-06
2011;12;1,6564544188544832e-05
2012;01;0,001014858337188569
2012;02;8,023779289104918e-06
2012;03;6,838032476409968e-06
2012;04;0,004381102518245626
2012;05;8,99947952355105e-06
2012;06;7,654797466647825e-06
2012;07;8,292096853577605e-06
2012;08;4,7944825409311266e-06
2012;09;7,837537989724297e-06
2012;10;0,003996299445459146
2012;11;5,394906331268771e-05
2012;12;0,0007947051306779445
2013;01;0,0005726066218248933
2013;02;1,0311786659315276e-05
2013;03;9,11737663521329e-06
2013;04;6,822312861521668e-06
2013;05;0,002231084941096245
2013;06;5,685260717934725e-06
2013;07;4,617636873437765e-06
2013;08;5,639411841177187e-06
2013;09;8,32484605126156e-06
2013;10;0,0028002528971643233
2013;11;1,5492335456372123e-05
2013;12;1,5130129329987574e-05
2014;01;0,0004636696906489827
2014;02;0,0009983723910744653
2014;03;7,0345276625137025e-06
2014;04;0,00021226326980460574
2014;05;5,264106035719052e-05
2014;06;0,0002650955854762705
2014;07;7,604363702214534e-06
2014;08;7,0345276625137025e-06
2014;09;7,77662448203214e-06
2014;10;1,1829010203444829e-05
2014;11;1,3502494205094968e-05
2014;12;0,003477159163773079
2015;01;0,004279724101895173
2015;02;1,2117437065904237e-05
2015;03;8,233148297746484e-06
2015;04;7,167489405110563e-06
2015;05;7,879456962759762e-06
2015;06;6,071046266651724e-06
2015;07;5,757308952839428e-06
2015;08;5,462566173683825e-06
2015;09;8,223323538441295e-06
2015;10;1,194690731510707e-05
2015;11;1,2284224051251815e-05
2015;12;0,005290790081991939
2016;01;0,0004622352757904254
2016;02;1,1636580434984619e-05
2016;03;8,60648915134358e-06
2016;04;0,0004006078355887575
2016;05;6,916630550851461e-06
2016;06;0,0011330521565818261
2016;07;0,00027954991308242296
2016;08;5,364318580631957e-06
2016;09;6,131959774343881e-06
2016;10;1,0080203047121592e-05
2016;11;1,508624540509107e-05
2016;12;1,290973372701537e-05
2017;01;0,00045860011484750627
2017;02;5,923838623062341e-05
2017;03;0,0010396560296748601
2017;04;2,3614136481993158e-05
2017;05;7,014878143903329e-06
2017;06;0,001169559652191993
2017;07;8,685087225785074e-06
2017;08;5,20712243174897e-06
2017;09;1,021316478971845e-05
2017;10;0,0005086474387481275
2017;11;1,805070277944275e-05
2017;12;1,4520994253065993e-05
