Ano;Mes;MDQI
2008;01;0,0010059488319779646
2008;02;1,032513041433954e-05
2008;03;8,882724876659872e-06
2008;04;0,00015513459054460516
2008;05;4,668698093725101e-06
2008;06;3,572977199867623e-05
2008;07;0,0006552922542905225
2008;08;0,001974160652363284
2008;09;0,0025176425776039647
2008;10;1,790961382747278e-05
2008;11;1,24103088757429e-05
2008;12;1,0036037469884126e-05
2009;01;0,0004582199649233282
2009;02;1,2621485481068164e-05
2009;03;1,682283849924223e-05
2009;04;5,271229993390336e-06
2009;05;0,0019483663726340566
2009;06;4,858698950429354e-06
2009;07;0,0007827332958418024
2009;08;0,0018738779044736016
2009;09;0,003340493038767833
2009;10;0,0006154697011917889
2009;11;2,195581884203453e-05
2009;12;1,645688354177684e-05
2010;01;0,0007318988253866104
2010;02;1,0399220041308108e-05
2010;03;7,94011362258236e-06
2010;04;0,0016477750367381806
2010;05;0,001740160180924582
2010;06;6,646333469926946e-06
2010;07;0,0007632600562869776
2010;08;0,0016171882256720465
2010;09;8,399590402511123e-06
2010;10;4,889380022620897e-05
2010;11;1,069142953007214e-05
2010;12;1,3008035306269703e-05
2011;01;0,00045847502443913747
2011;02;0,0008864015231431878
2011;03;6,686995131867545e-06
2011;04;6,829680600131828e-06
2011;05;0,002723059748955786
2011;06;0,005638107600930304
2011;07;0,0001209314791260623
2011;08;0,00020889374344774283
2011;09;0,0015434161420646902
2011;10;0,0006206152496846356
2011;11;6,147858459682423e-05
2011;12;1,1821454080548592e-05
2012;01;0,0022311719279456427
2012;02;1,0941556110718021e-05
2012;03;0,0005438977831468915
2012;04;0,0043670077840024125
2012;05;4,9459366978655465e-06
2012;06;0,0025282767111558476
2012;07;0,0006025171136063472
2012;08;0,004405055270731703
2012;09;0,002812968967581476
2012;10;1,6079839040145836e-05
2012;11;1,4816739959681968e-05
2012;12;1,3130020292091498e-05
2013;01;0,0004589186062057622
2013;02;1,0779829039278064e-05
2013;03;0,002757392977692539
2013;04;4,549300668208616e-06
2013;05;0,0008364954059567176
2013;06;0,0025437351660712467
2013;07;0,0015854610398142138
2013;08;0,005462631829174176
2013;09;0,004797438090549646
2013;10;1,1211529151439615e-05
2013;11;1,2490523245207539e-05
2013;12;2,1569163402126658e-05
2014;01;0,0004635540356669903
2014;02;0,0009813082184434376
2014;03;0,001264596168926228
2014;04;1,290305428816852e-05
2014;05;0,0005637924253800098
2014;06;0,00325019457714193
2014;07;0,0022710721078535354
2014;08;1,2242856758842071e-05
2014;09;1,3407258896231943e-05
2014;10;0,0012322146999626236
2014;11;0,0016111629066753938
2014;12;1,7665643855829185e-05
2015;01;0,0004597503220181835
2015;02;1,3972033538380904e-05
2015;03;0,0020049674060553706
2015;04;0,0009772860407745684
2015;05;0,0033071127715263806
2015;06;0,0022497495019833578
2015;07;0,004144994370503799
2015;08;6,443025160223953e-06
2015;09;6,738007035029387e-06
2015;10;9,958410660724801e-06
2015;11;1,0886235855914823e-05
2015;12;1,0601604222330634e-05
2016;01;0,0005788963845335814
2016;02;9,519035272921528e-06
2016;03;8,261710403385274e-06
2016;04;0,00015655553080369297
2016;05;4,835041256209369e-06
2016;06;0,0006370281447012221
2016;07;0,0024993614640469435
2016;08;0,0027937223243791032
2016;09;0,004139198974722848
2016;10;0,0010820290033276617
2016;11;1,0771643899536775e-05
2016;12;3,4566109164230736e-05
2017;01;0,00045879662121994027
2017;02;1,0472886298979712e-05
2017;03;0,0029208861273262426
2017;04;0,002661925309879568
2017;05;0,0011224725708996698
2017;06;0,0004172751499550341
2017;07;0,0017364008254524374
2017;08;0,0014572769988038376
2017;09;8,156655454989655e-05
2017;10;0,0035113932646012257
2017;11;1,1046664594844095e-05
2017;12;1,1732737727223652e-05
