Ano;Mes;MDQI
2008;01;0,0012348615800503167
2008;02;0,0008468385090805669
2008;03;8,802880158667424e-05
2008;04;0,00046187433937737156
2008;05;6,864427838517431e-06
2008;06;5,351444362854972e-06
2008;07;4,775157717715032e-05
2008;08;0,002392036855612095
2008;09;0,00024017328137275663
2008;10;0,0038068076316291185
2008;11;4,835780559153743e-05
2008;12;0,0003732629670705302
2009;01;0,0005078234959761367
2009;02;7,280681799876868e-06
2009;03;3,464373597339007e-05
2009;04;0,00023306858007731746
2009;05;4,1363999737754465e-06
2009;06;3,67840179973543e-06
2009;07;0,003369735427429624
2009;08;6,398666983561481e-06
2009;09;0,0019935218875220357
2009;10;1,672303260175167e-05
2009;11;4,537841472570811e-06
2009;12;6,975323280173609e-06
2010;01;0,0004579759949516846
2010;02;2,0012666667452438e-05
2010;03;0,00038963113425898206
2010;04;4,803694811367889e-05
2010;05;0,0023459376205156213
2010;06;2,6379068358227288e-05
2010;07;0,001578962566933162
2010;08;0,003408182877051821
2010;09;0,00010135658541638594
2010;10;0,0011531129814292718
2010;11;7,024486925974512e-06
2010;12;8,170776141227208e-05
2011;01;0,00045501508665946456
2011;02;9,949855869511323e-05
2011;03;0,0012029383033653929
2011;04;0,004402439616914507
2011;05;0,002307201842745118
2011;06;5,362903558492777e-06
2011;07;0,0011478454479506035
2011;08;0,0024063534571299072
2011;09;0,0008636222792431796
2011;10;0,00027574151567808707
2011;11;0,0016564840254229129
2011;12;6,465204248555188e-06
2012;01;0,0018486491914968216
2012;02;0,0009271042473532341
2012;03;4,879399432871841e-06
2012;04;4,865574467812036e-05
2012;05;6,043801570261712e-06
2012;06;0,002431354834451292
2012;07;0,002466325711977568
2012;08;0,0004993178156011079
2012;09;6,611955883013531e-06
2012;10;0,00012094256867022794
2012;11;0,0018607556468624262
2012;12;1,1266976872267704e-05
2013;01;0,0006073188862300599
2013;02;0,0010292772298972639
2013;03;6,154697011917889e-06
2013;04;0,00014547448862193548
2013;05;0,0011490098500879934
2013;06;7,984767520422579e-05
2013;07;6,924311377011764e-05
2013;08;0,0002942499648905032
2013;09;0,000141268963822861
2013;10;0,0007745492122475765
2013;11;7,437017968935496e-06
2013;12;7,977818072745458e-05
2014;01;0,0011433985407401906
2014;02;1,7495736197005966e-05
2014;03;0,0003460159570556071
2014;04;0,0004187992229748622
2014;05;0,0004711503734204387
2014;06;5,935863340383031e-06
2014;07;8,126417964564737e-05
2014;08;0,005075828528677428
2014;09;0,000246441461386636
2014;10;0,0024849783252641373
2014;11;0,0008346419734751708
2014;12;0,0003210533931388014
2015;01;0,00045391722178706844
2015;02;6,249354192474412e-06
2015;03;0,0032051998606443524
2015;04;0,0002869153403793635
2015;05;0,004153921453557123
2015;06;2,912927531130051e-05
2015;07;0,002211787404744142
2015;08;0,0008494701726304904
2015;09;0,000495644588921983
2015;10;0,003190362050550755
2015;11;4,2742799729012944e-05
2015;12;0,0010888601625336823
2016;01;0,000681918249832171
2016;02;4,387291350570682e-05
2016;03;3,2525633037757066e-05
2016;04;0,0004353577606714906
2016;05;0,0005830216949631911
2016;06;5,038608321942893e-05
2016;07;0,0004453893623237084
2016;08;8,078732924652579e-05
2016;09;0,004680141764001074
2016;10;0,001398069922503604
2016;11;0,000627505553126206
2016;12;9,215411201628407e-06
2017;01;0,0012503904628500715
2017;02;5,1762823723913796e-05
2017;03;0,002062111827140799
2017;04;9,328931168737114e-05
2017;05;8,3393372125446e-06
2017;06;0,00018780475730798742
2017;07;1,0390902883183896e-05
2017;08;0,0008609145822094079
2017;09;0,002213996811593406
2017;10;0,000123348999754167
2017;11;4,446167907468371e-06
2017;12;4,21957155501758e-05
