Ano;Mes;MDQI
2008;01;0,0007771961066601978
2008;02;0,0005465736023060312
2008;03;7,0121153132769824e-06
2008;04;4,987272235978101e-06
2008;05;5,607714220914033e-06
2008;06;4,368973116558684e-06
2008;07;4,465402064801916e-06
2008;08;4,465402064801915e-06
2008;09;0,000602397079257158
2008;10;9,969269726069392e-06
2008;11;1,4716541024197674e-05
2008;12;1,6531383280877964e-05
2009;01;0,0004605693821810142
2009;02;0,0025046205996885344
2009;03;0,0004293857438414341
2009;04;6,014364161625229e-06
2009;05;4,900568600463675e-06
2009;06;6,121672273260003e-06
2009;07;4,282434316853221e-06
2009;08;0,00029215004273137576
2009;09;5,376647383909997e-05
2009;10;0,003259224274507166
2009;11;0,00016933220015967446
2009;12;1,2085761513151586e-05
2010;01;0,00047323371738362526
2010;02;9,438733900936303e-06
2010;03;5,246723799285529e-06
2010;04;0,0034686478401227674
2010;05;5,093426496950135e-06
2010;06;2,0807553836990598e-05
2010;07;5,20716320513446e-06
2010;08;5,637384666527335e-06
2010;09;8,640857941638287e-06
2010;10;5,899473602778168e-06
2010;11;0,003224721172646692
2010;12;1,4573133870400048e-05
2011;01;0,0004634029097370846
2011;02;1,290434791444714e-05
2011;03;0,0003736498117568468
2011;04;5,590241625163978e-06
2011;05;1,2036310770462747e-05
2011;06;4,476281228193458e-06
2011;07;9,998940171682694e-06
2011;08;0,0028630743748268984
2011;09;0,0004013118978737459
2011;10;0,0005170272951088588
2011;11;8,990375790962983e-05
2011;12;1,1853343022514056e-05
2012;01;0,00045922432197987787
2012;02;8,489498881056562e-06
2012;03;6,067606127920211e-06
2012;04;7,725673046695993e-05
2012;05;4,549468327372936e-06
2012;06;0,00010987839640393144
2012;07;3,842322706922579e-06
2012;08;0,00066829217191974
2012;09;0,002181277534750454
2012;10;8,342340291606678e-06
2012;11;2,1466732237032785e-05
2012;12;1,3821482581529737e-05
2013;01;0,00046169685911431977
2013;02;0,0002196914589575818
2013;03;0,0025701479554353073
2013;04;5,896836229834761e-06
2013;05;5,0983715712190195e-06
2013;06;0,0013927673106379742
2013;07;0,002518996107197975
2013;08;0,0028680787899870077
2013;09;0,0013287248076323253
2013;10;7,788491973491712e-06
2013;11;1,63159428785636e-05
2013;12;1,4241813894384847e-05
2014;01;0,00046018861146231025
2014;02;0,0008140688993411369
2014;03;0,002048457455290891
2014;04;4,37408302663653e-06
2014;05;5,053865902799067e-06
2014;06;0,0003330639388740293
2014;07;3,8818833010736465e-06
2014;08;4,811557263623769e-06
2014;09;1,1507517495310123e-05
2014;10;6,23079357879337e-06
2014;11;1,508956445988046e-05
2014;12;1,6130832265098387e-05
2015;01;0,00767142723032443
2015;02;1,0161421183374584e-05
2015;03;0,0016698724594136985
2015;04;4,266774915001756e-06
2015;05;0,00021695029832446248
2015;06;3,7711136374506537e-06
2015;07;4,099466568904527e-06
2015;08;3,847267781191462e-06
2015;09;0,004406076173633927
2015;10;0,0019391910942456387
2015;11;1,2754335554304649e-05
2015;12;0,001030246883030677
2016;01;0,0004603567439874523
2016;02;9,90617739919053e-06
2016;03;3,932323058616261e-05
2016;04;0,000913447525515825
2016;05;3,372540651378634e-06
2016;06;0,00025377857410616427
2016;07;5,2467237992855294e-06
2016;08;5,409911250158688e-06
2016;09;4,205455994067599e-06
2016;10;0,006084295753577692
2016;11;1,0204490425459289e-05
2016;12;1,2684115499686505e-05
2017;01;0,003966181982135305
2017;02;1,1092154804696609e-05
2017;03;0,003115545141624752
2017;04;0,0023474569203920975
2017;05;4,954964417421395e-06
2017;06;5,507461081902865e-05
2017;07;0,00039838012817553387
2017;08;4,282434316853221e-06
2017;09;0,0024097722737914345
2017;10;1,1967079730698376e-05
2017;11;1,56772041188328e-05
2017;12;2,957648920219297e-05
