Ano;Mes;MDQI
2008;01;0,0006931500806481924
2008;02;0,0004549863933314446
2008;03;0,003301395867872205
2008;04;0,012531206220845406
2008;05;0,015284730057692406
2008;06;0,01620134292524774
2008;07;0,02465533920262221
2008;08;0,0019111525231410688
2008;09;0,004390174133471669
2008;10;0,008711964812908654
2008;11;0,0055613501935838335
2008;12;0,005170821854332435
2009;01;0,006767230290407596
2009;02;0,0060693303693518915
2009;03;0,006355869342276243
2009;04;0,007593740278396075
2009;05;0,00872437694932355
2009;06;0,005637595161855379
2009;07;0,005539264502884147
2009;08;0,008708246117058453
2009;09;0,006541737541119445
2009;10;0,0021948860494668044
2009;11;0,002433615114214666
2009;12;0,004273196918118947
2010;01;0,0007325039613011939
2010;02;0,00442876453937314
2010;03;0,0013113496298453671
2010;04;0,004885135353342107
2010;05;0,002478936060545749
2010;06;0,006202597919162858
2010;07;0,0017543343279262313
2010;08;0,00649134954202085
2010;09;0,0014027265253796968
2010;10;0,0035217335420708517
2010;11;0,001233711139644849
2010;12;0,03760921839382484
2011;01;0,07946016819819574
2011;02;0,07321514198921733
2011;03;0,055778687196716116
2011;04;0,15100249792844248
2011;05;0,12346762038555834
2011;06;0,11755658816618411
2011;07;0,16270344183894414
2011;08;0,11579929371680052
2011;09;0,08414112835807959
2011;10;0,09026476481483922
2011;11;0,047259279290106766
2011;12;0,0009160057772709275
2012;01;0,002076570202509495
2012;02;0,007628227061511464
2012;03;0,001778154750679443
2012;04;0,004101091190637664
2012;05;0,0019925088850127415
2012;06;0,00402127950513178
2012;07;0,003402537471893681
2012;08;0,0010841234671901644
2012;09;0,002295657761932969
2012;10;0,004577353601175171
2012;11;0,003055603588710287
2012;12;0,0001811825761376272
2013;01;0,03157617338996986
2013;02;0,018079900262147147
2013;03;0,005894256549424495
2013;04;0,017816570171124757
2013;05;0,02727821153991235
2013;06;0,06654260315988664
2013;07;0,04566886362470224
2013;08;0,03479785466062766
2013;09;0,0180894291494616
2013;10;0,042094554053004635
2013;11;0,019757559294374557
2013;12;0,0046418076991958
2014;01;0,003532988531106831
2014;02;0,01706121778851384
2014;03;0,010571995158258003
2014;04;0,01680589127664767
2014;05;0,012824303410135084
2014;06;0,02142968027905832
2014;07;0,006648800706742103
2014;08;0,015526425507658358
2014;09;0,0032510116599972117
2014;10;0,013151820624037516
2014;11;0,008089938096505352
2014;12;0,0020466079975143287
2015;01;0,0060753056085568625
2015;02;0,024474116889280622
2015;03;0,005922018196370006
2015;04;0,004667580931777794
2015;05;0,014403957934587269
2015;06;0,029866433082457188
2015;07;0,015217210013625061
2015;08;0,0174509791820681
2015;09;0,014980329912146336
2015;10;0,0043376312358425
2015;11;0,0010567089644583272
2015;12;0,01060133428389529
2016;01;0,005964634846419245
2016;02;0,0019874572358673736
2016;03;0,00988635072072875
2016;04;0,00267576864289373
2016;05;0,005837556327857475
2016;06;0,009436997261496992
2016;07;0,0045933558615092775
2016;08;0,003131779820449497
2016;09;0,015323485923424113
2016;10;0,0014282511855617755
2016;11;0,005173967910582297
2016;12;0,0006280639927423718
2017;01;0,04246892584560473
2017;02;0,017561010793356462
2017;03;0,025304548332938322
2017;04;0,030161821654327254
2017;05;0,041743275757240204
2017;06;0,03804798164683817
2017;07;0,028098352107406695
2017;08;0,040530525963242116
2017;09;0,01999758199055116
2017;10;0,004603508098983297
2017;11;0,014355837581712575
2017;12;0,013707394773072323
