Ano;Mes;MDQI
2008;01;0,05379593631873143
2008;02;0,05046268614679977
2008;03;0,034417024601032395
2008;04;0,025365803132742795
2008;05;0,020743548092370345
2008;06;0,015927502844175948
2008;07;0,015770959430254652
2008;08;0,016983763620069706
2008;09;0,03107160026440719
2008;10;0,028107490604655595
2008;11;0,030452360921533445
2008;12;0,08246888984546406
2009;01;0,09779530687924314
2009;02;0,06359747728703369
2009;03;0,06429804136685176
2009;04;0,021792744499999385
2009;05;0,017252909177302236
2009;06;0,017363494884162427
2009;07;0,014540501325299682
2009;08;0,017694474639067932
2009;09;0,020469936968237207
2009;10;0,04326523115512306
2009;11;0,049658121466241684
2009;12;0,08931445505736502
2010;01;0,09187786287657188
2010;02;0,05090204074624778
2010;03;0,032989816826141355
2010;04;0,025854346305555456
2010;05;0,025611953929789204
2010;06;0,014835520170450247
2010;07;0,01788044404709784
2010;08;0,016941250816580114
2010;09;0,02272855299201587
2010;10;0,03193919129204861
2010;11;0,059027223352534325
2010;12;0,06252848610032591
2011;01;0,06657230080340842
2011;02;0,06335379480026063
2011;03;0,05132985113071496
2011;04;0,025571109099850508
2011;05;0,020069119083282922
2011;06;0,01666696815136126
2011;07;0,019474543133489435
2011;08;0,016093313986620367
2011;09;0,023136799037865256
2011;10;0,0292836715744353
2011;11;0,032017148245032045
2011;12;0,04682966541350572
2012;01;0,048420911192044176
2012;02;0,07197842242147912
2012;03;0,03574415396286978
2012;04;0,024766737714856386
2012;05;0,020992033129307485
2012;06;0,01874584308815167
2012;07;0,013348876888578259
2012;08;0,015485158862884525
2012;09;0,020967029020610106
2012;10;0,033749983532902685
2012;11;0,04585155016276085
2012;12;0,05675064154426519
2013;01;0,075076849421183
2013;02;0,07631351589027276
2013;03;0,07578845549862391
2013;04;0,033986374731372025
2013;05;0,022654408856129547
2013;06;0,019949155372743416
2013;07;0,02145652890045799
2013;08;0,02165124614486955
2013;09;0,030274295885050737
2013;10;0,032680631002553674
2013;11;0,040239969553111786
2013;12;0,03917907672615037
2014;01;0,05958559328172496
2014;02;0,043427390207158086
2014;03;0,035073146945176416
2014;04;0,02122410859662656
2014;05;0,01964031191313095
2014;06;0,019417249503010145
2014;07;0,01895075592185501
2014;08;0,015555250345571679
2014;09;0,019369829537487733
2014;10;0,028027365566276875
2014;11;0,08835270602442045
2014;12;0,05497446976836757
2015;01;0,06715902397526292
2015;02;0,04982089509681645
2015;03;0,04109745894787255
2015;04;0,029751020653438945
2015;05;0,022937796227256467
2015;06;0,022801742234060864
2015;07;0,016266678400338894
2015;08;0,017764640297869116
2015;09;0,024225725985364405
2015;10;0,06792117860188034
2015;11;0,033495864243179393
2015;12;0,05710024840492674
2016;01;0,04906777141208257
2016;02;0,03571633144035482
2016;03;0,05046156037506449
2016;04;0,03350534823628388
2016;05;0,019900126115218093
2016;06;0,016250469600736152
2016;07;0,017970755938470463
2016;08;0,0172830147894512
2016;09;0,020756398527201275
2016;10;0,029301236478238367
2016;11;0,041546818835700855
2016;12;0,05250765408485485
2017;01;0,20812120448242105
2017;02;0,04824382172452281
2017;03;0,02571556312587085
2017;04;0,02671436461129732
2017;05;0,021772444970125617
2017;06;0,01694854974620099
2017;07;0,014669691390574268
2017;08;0,018149831912969542
2017;09;0,01765916961099685
2017;10;0,030039427274948773
2017;11;0,04882455205506277
2017;12;0,05095857989968146
