Ano;Mes;MDQI
2008;01;0,0032259975824237494
2008;02;0,008594010638452183
2008;03;0,002657210933013272
2008;04;0,008008348162292378
2008;05;0,003117003938534072
2008;06;0,0011548907766940678
2008;07;0,006264400303524703
2008;08;0,005754721388779405
2008;09;0,0009100954245047578
2008;10;0,008667914091321437
2008;11;0,0017663886057998706
2008;12;0,002097463141295528
2009;01;0,007262825633635114
2009;02;0,005070248050802901
2009;03;0,009286953323523096
2009;04;0,010837163721927686
2009;05;0,01405003896916327
2009;06;0,011524860530114336
2009;07;0,011661271392836342
2009;08;0,008876378642200495
2009;09;0,012853927701721874
2009;10;0,018629326094377573
2009;11;0,005713436447230777
2009;12;0,007727642834613099
2010;01;0,0028360989946901376
2010;02;0,005701827461521062
2010;03;0,0022631626898972808
2010;04;0,00025469324801009874
2010;05;0,00390960044235074
2010;06;0,003043544200926569
2010;07;0,009848501122274717
2010;08;0,00747918746812158
2010;09;0,0019683731313569837
2010;10;0,006999198779286659
2010;11;0,0019388327411969536
2010;12;0,0019349828360428185
2011;01;0,04803241626733215
2011;02;0,025722559169692752
2011;03;0,047904670163744056
2011;04;0,06629630549413443
2011;05;0,0577442355368149
2011;06;0,048209048056455914
2011;07;0,007979386675493425
2011;08;0,019155442435992643
2011;09;0,010073671617556344
2011;10;0,011647707054116796
2011;11;0,01455210411789257
2011;12;0,002280786934591582
2012;01;0,006094912828032985
2012;02;0,014209898726093075
2012;03;0,005418362382084209
2012;04;0,0029311874981348823
2012;05;0,0018166768792340468
2012;06;0,013743915630070307
2012;07;0,009342990905138085
2012;08;0,017694642771593074
2012;09;0,006381035979081254
2012;10;0,011595215090752599
2012;11;0,00997901053336424
2012;12;0,00886085605407047
2013;01;0,025142997701648163
2013;02;0,04076885364102117
2013;03;0,0050988957490915214
2013;04;0,021989614005568574
2013;05;0,01832816612632829
2013;06;0,042576348188455126
2013;07;0,03287344439337171
2013;08;0,026592819301170807
2013;09;0,022001356578927468
2013;10;0,018768510154749573
2013;11;0,01855755312160319
2013;12;0,013801929757870566
2014;01;0,009276687349340895
2014;02;0,010116258703125845
2014;03;0,03073649977911343
2014;04;0,023098837515896926
2014;05;0,006190530784096119
2014;06;0,019798341486705853
2014;07;0,0251852484162015
2014;08;0,0198261478041556
2014;09;0,018759307701206797
2014;10;0,012289290879910297
2014;11;0,015221798712874973
2014;12;0,025924002951378568
2015;01;0,004217332414103367
2015;02;0,0183652850900591
2015;03;0,01550921664920264
2015;04;0,00951287942615301
2015;05;0,030614435565860295
2015;06;0,01939372347701174
2015;07;0,026070846931793068
2015;08;0,02767980596636266
2015;09;0,021312688887826024
2015;10;0,03278189128835761
2015;11;0,028057075242812708
2015;12;0,014186048291854643
2016;01;0,002124552258140472
2016;02;5,85912861753617e-05
2016;03;0,0014775140154283945
2016;04;0,001889450570204646
2016;05;0,0018705089577251137
2016;06;0,0063030280918328525
2016;07;0,008588778067796494
2016;08;0,002755894835123114
2016;09;0,0020865909010079602
2016;10;0,002827464895016667
2016;11;0,0019229920199556295
2016;12;0,005664730927234261
2017;01;0,013387997371119398
2017;02;0,012175714886639712
2017;03;0,005894172483161925
2017;04;0,003946076958516115
2017;05;0,008224034334797905
2017;06;0,009084873358032595
2017;07;0,024319435142759745
2017;08;0,01191310919012778
2017;09;0,006278219478404908
2017;10;0,00878816346231788
2017;11;0,004281752061439922
2017;12;0,006701836628275881
