Ano;Mes;MDQI
2008;01;1,1047579963712634e-05
2008;02;4,7558341042687495e-06
2008;03;6,100183618278874e-06
2008;04;4,398247677459816e-06
2008;05;3,4858192104450707e-06
2008;06;4,559390372539162e-06
2008;07;4,880146894623098e-06
2008;08;3,843574339938118e-06
2008;09;4,853238816507382e-06
2008;10;3,8344011314895775e-06
2008;11;7,2419422965071095e-06
2008;12;1,2255406487248984e-05
2009;01;0,00147490514719
2009;02;0,0011225890750777628
2009;03;4,9076665199687175e-06
2009;04;4,189710072063013e-06
2009;05;3,650936962518785e-06
2009;06;6,1234224130151725e-06
2009;07;3,403260334408214e-06
2009;08;3,6050709202760857e-06
2009;09;6,227691215713573e-06
2009;10;5,870853407065381e-06
2009;11;9,96241014872902e-06
2009;12;0,0017857301422603185
2010;01;0,0020951699828549064
2010;02;1,071463508248177e-05
2010;03;5,063611063593891e-06
2010;04;1,1962475364125614e-05
2010;05;3,7243226301071016e-06
2010;06;6,464665767300849e-06
2010;07;4,063731342703069e-06
2010;08;0,0020701454702072904
2010;09;6,86278301396747e-06
2010;10;6,771662476711975e-05
2010;11;3,2048438356663e-05
2010;12;8,232954582564345e-05
2011;01;0,00045766054270609207
2011;02;0,0003193976859800656
2011;03;4,476525722887354e-06
2011;04;3,38399659666628e-06
2011;05;3,2656622076801185e-06
2011;06;3,5261813276186444e-06
2011;07;4,696682725652305e-06
2011;08;3,990345675114752e-06
2011;09;3,1470220450790052e-06
2011;10;7,200968632103633e-06
2011;11;8,957638049998977e-06
2011;12;9,081476364054263e-06
2012;01;0,0004671272938249849
2012;02;5,9521470129714045e-06
2012;03;3,816054714592498e-06
2012;04;0,00023056675971235458
2012;05;4,669163100306686e-06
2012;06;4,1612731258725414e-06
2012;07;3,4307799597538323e-06
2012;08;2,7611357430104374e-06
2012;09;4,5309534263486885e-06
2012;10;0,00011790324818908022
2012;11;0,0027558244553187324
2012;12;0,0009734975733928228
2013;01;0,0005371372207042396
2013;02;0,0006997215291732194
2013;03;7,5036845109054416e-06
2013;04;3,848466717777338e-06
2013;05;0,0017495051420970348
2013;06;4,019088394920175e-06
2013;07;0,001429415206493692
2013;08;4,889320103071639e-06
2013;09;7,92442900507846e-06
2013;10;6,3019942041467465e-06
2013;11;1,1706542848411362e-05
2013;12;9,943757958216991e-06
2014;01;0,00046974165823281876
2014;02;0,0002450655398486115
2014;03;3,1188908725034843e-06
2014;04;3,4219125249202436e-06
2014;05;4,916839728417258e-06
2014;06;4,246583964443959e-06
2014;07;5,430539401535479e-06
2014;08;4,760895184792083e-06
2014;09;8,594593036967272e-05
2014;10;7,210141840552171e-06
2014;11;1,2256323808093838e-05
2014;12;0,004226436540954817
2015;01;0,004420284781889356
2015;02;0,001425848794094735
2015;03;4,118770593394307e-06
2015;04;3,7726348612694097e-06
2015;05;5,861680198616842e-06
2015;06;3,734718933015446e-06
2015;07;4,338927596159259e-06
2015;08;4,898493311520178e-06
2015;09;0,0005464443579961281
2015;10;0,0006771570744627491
2015;11;6,37935492872943e-06
2015;12;0,0004415248690451109
2016;01;0,000457064284156937
2016;02;1,0403999968307514e-05
2016;03;0,002943205584297053
2016;04;4,417205641586797e-06
2016;05;4,86180047772602e-06
2016;06;4,64470121111058e-06
2016;07;4,531564973578592e-06
2016;08;2,4703450351917302e-05
2016;09;5,090213368094656e-06
2016;10;0,003179883535477824
2016;11;8,758579426665666e-06
2016;12;0,0003723863969684674
2017;01;0,0011053165787983375
2017;02;5,981914752210201e-06
2017;03;3,7793618807983395e-06
2017;04;3,7726348612694097e-06
2017;05;3,3390478752684364e-06
2017;06;8,777537390792648e-06
2017;07;3,0363319964666267e-06
2017;08;2,852867827495834e-06
2017;09;0,0008317427601430793
2017;10;4,210502677879703e-06
2017;11;1,1848727579363725e-05
2017;12;2,254774636651048e-05
