Ano;Mes;MDQI
2008;01;0,01597112427443074
2008;02;0,0064072754338281674
2008;03;0,007168889922159088
2008;04;0,007119274789623472
2008;05;0,00296162538686172
2008;06;0,0106108767906745
2008;07;0,012501808039385208
2008;08;0,010123699615143544
2008;09;0,0009985349285322666
2008;10;0,008356499353949274
2008;11;0,007861962513280054
2008;12;0,004591897165544638
2009;01;0,0018522542499291282
2009;02;0,004543116991546589
2009;03;0,006551982480786348
2009;04;0,006934927546452698
2009;05;0,002256526719464719
2009;06;0,004031989289508587
2009;07;0,0073599862005590665
2009;08;0,003326453060068591
2009;09;0,0035465516600730863
2009;10;0,006979032026899661
2009;11;0,0004738069184435965
2009;12;0,0036871894823074128
2010;01;0,007109420011787207
2010;02;0,004122402528710754
2010;03;0,0027700062355801754
2010;04;0,004348435626716169
2010;05;0,004702140784679186
2010;06;0,005430869025492395
2010;07;0,0020768052195409303
2010;08;0,005939037865463377
2010;09;0,0021494444937351508
2010;10;0,007163431863132207
2010;11;0,006249142152123254
2010;12;0,010742056423451152
2011;01;0,006207014803870567
2011;02;0,005231819204070999
2011;03;0,0038614345767874238
2011;04;0,0029443329716153767
2011;05;0,004292401082908265
2011;06;0,005829213767728539
2011;07;0,002546904632903242
2011;08;0,010666414146584495
2011;09;0,006738797928577007
2011;10;0,010279341442889917
2011;11;0,014112346412053623
2011;12;0,015089863685388599
2012;01;0,003753594338266391
2012;02;0,0018113059963674447
2012;03;0,007223672323013769
2012;04;0,0018454251020128048
2012;05;0,00509282773250249
2012;06;0,006338443642143402
2012;07;0,0017926192218051715
2012;08;0,0075592741541035905
2012;09;0,006445300206945137
2012;10;0,007582161309182696
2012;11;0,012903425476622175
2012;12;0,009913055229539726
2013;01;0,016989662674706505
2013;02;0,004329870363274675
2013;03;0,00863386048459932
2013;04;0,004984257306588954
2013;05;0,005465498498932863
2013;06;0,007802548253706093
2013;07;0,0031961201144317395
2013;08;0,003027287212936367
2013;09;0,006192486276329768
2013;10;0,006567246699644719
2013;11;0,010056043533552184
2013;12;0,022498403678265784
2014;01;0,00767843413185012
2014;02;0,005076258952356903
2014;03;0,003729432107212938
2014;04;0,00908192646281547
2014;05;0,006353309132207876
2014;06;0,005705920648028712
2014;07;0,004381729786780145
2014;08;0,005347375093741017
2014;09;0,004368730127314103
2014;10;0,011890551294416766
2014;11;0,008617949248771713
2014;12;0,0071739810528480275
2015;01;0,008900562347032162
2015;02;0,004867389582587879
2015;03;0,0038902476245242868
2015;04;0,004691698004181367
2015;05;0,006491099896313389
2015;06;0,006055988934615499
2015;07;0,005125172465492041
2015;08;0,004183845334128248
2015;09;0,00024657676041759085
2015;10;0,010419508067983602
2015;11;0,00588018225428393
2015;12;0,009676661647820859
2016;01;0,008203792952906434
2016;02;0,003785918510616316
2016;03;0,0009039463069359948
2016;04;0,0037434775124421107
2016;05;0,0020785573023546014
2016;06;0,006024414445362011
2016;07;0,008425325936938666
2016;08;0,0009251547648690186
2016;09;0,0023962013548119478
2016;10;0,0026946299817585243
2016;11;0,0015606385648972816
2016;12;0,0069822976891073425
2017;01;0,023315094426439274
2017;02;0,013613517689243002
2017;03;0,006992755146738679
2017;04;0,009052124543207855
2017;05;0,00683300372160736
2017;06;0,0104372597551996
2017;07;0,009866281039660623
2017;08;0,00935969977629847
2017;09;0,00784820851030593
2017;10;0,01104516675021625
2017;11;0,008154123698440973
2017;12;0,01152325602813724
