Ano;Mes;MDQI
2008;01;3,704362815459607e-05
2008;02;0,00044746294545832473
2008;03;0,0008514400892197251
2008;04;6,679788151510823e-06
2008;05;0,0010540738415769585
2008;06;5,57016437716744e-06
2008;07;5,170026600818023e-06
2008;08;5,3478129350964956e-06
2008;09;5,430542842647412e-06
2008;10;9,323115369563175e-06
2008;11;1,0331993554482087e-05
2008;12;1,3284194897287576e-05
2009;01;0,00045765758169964753
2009;02;0,0011340444205597139
2009;03;6,869663956520233e-06
2009;04;4,6369046464283045e-06
2009;05;0,0005384721378092707
2009;06;1,3624122368428013e-05
2009;07;5,3264785749830785e-06
2009;08;8,142614109954108e-06
2009;09;0,003333574364192925
2009;10;0,0007730149814428048
2009;11;0,0011673756501219558
2009;12;0,0020778742261529782
2010;01;0,0004983919866095315
2010;02;1,0314147192926897e-05
2010;03;6,457199660994173e-06
2010;04;5,4231943408305686e-06
2010;05;0,003272669507038035
2010;06;6,025771489811743e-06
2010;07;5,561156536230666e-06
2010;08;7,154122091365791e-06
2010;09;7,1647892714224985e-06
2010;10;0,0004368708034958084
2010;11;1,1155025757968569e-05
2010;12;0,00010682114108787826
2011;01;0,0004606017233952991
2011;02;8,707974652959653e-06
2011;03;6,08029263232381e-06
2011;04;3,4758413593670186e-06
2011;05;2,7663553613730545e-06
2011;06;0,0004998156995744336
2011;07;0,002860148319885006
2011;08;5,589602349715222e-06
2011;09;6,1286505152475535e-06
2011;10;7,275016798675154e-06
2011;11;5,659081249151248e-05
2011;12;1,4045120407999443e-05
2012;01;0,0005317447029201731
2012;02;6,187945323011049e-06
2012;03;3,868630633899593e-06
2012;04;0,0034988789125628213
2012;05;4,167311675487429e-06
2012;06;8,755005064587454e-05
2012;07;0,0023242007480224897
2012;08;5,6194704538740036e-05
2012;09;6,679788151510823e-06
2012;10;9,863585825769736e-06
2012;11;0,0012583868451235636
2012;12;9,727757066380981e-05
2013;01;0,0031735145126842446
2013;02;9,904730663131322e-06
2013;03;6,272301873344561e-06
2013;04;5,643649395335877e-06
2013;05;6,151407166035199e-06
2013;06;0,0005418344329631451
2013;07;2,9604980384051485e-05
2013;08;0,0005057665637554027
2013;09;0,0001072366870131985
2013;10;8,974654154377365e-06
2013;11;1,2220558521410887e-05
2013;12;0,0009047333207830404
2014;01;0,0017480450187995536
2014;02;0,00108800080774732
2014;03;5,561156536230666e-06
2014;04;4,585465133710399e-06
2014;05;0,0002250419419296923
2014;06;2,533028576265985e-05
2014;07;0,0020450477573918015
2014;08;0,0026563625120816486
2014;09;5,820013438940123e-06
2014;10;8,491075325139915e-06
2014;11;0,000506230941660538
2014;12;0,004899478468766412
2015;01;0,0030301120554552274
2015;02;0,0006293991806126534
2015;03;5,411816015436748e-06
2015;04;5,026375242721014e-06
2015;05;0,001113731823907443
2015;06;2,477179962457974e-05
2015;07;4,323763649652485e-06
2015;08;5,26247549464283e-06
2015;09;0,001870744850022957
2015;10;0,00018748635667670748
2015;11;8,031912485810043e-06
2015;12;8,706552362285423e-05
2016;01;0,0005148052209901202
2016;02;0,0020013517999866322
2016;03;0,0027879101765409765
2016;04;5,2468302972263225e-06
2016;05;6,364750767169368e-06
2016;06;0,004138801147777196
2016;07;5,162915147446884e-06
2016;08;5,482930549148136e-06
2016;09;6,613651635159229e-06
2016;10;0,001864039934736201
2016;11;8,160511267604805e-05
2016;12;9,344449729676592e-06
2017;01;0,00046140531762623783
2017;02;0,0026844418317371124
2017;03;7,694592547572354e-06
2017;04;5,6216038898853465e-06
2017;05;5,034908986766383e-06
2017;06;4,967587228186267e-06
2017;07;6,2794133267156995e-06
2017;08;5,582490896344081e-06
2017;09;7,341153315026746e-06
2017;10;8,576412765593581e-06
2017;11;6,626878938429548e-05
2017;12;0,004644987998426834
