Ano;Mes;MDQI
2008;01;0,0029719967240776075
2008;02;5,9805960395444636e-05
2008;03;8,666291796050858e-05
2008;04;4,152533140226003e-05
2008;05;4,8519420439952955e-05
2008;06;5,712144318247514e-06
2008;07;2,1626722261106855e-05
2008;08;7,088170759115672e-06
2008;09;2,3291959442854027e-05
2008;10;0,00041368280868275955
2008;11;0,003013288566705522
2008;12;0,004276173053810651
2009;01;0,0020605930939952295
2009;02;0,0008284048813958451
2009;03;0,00023136859270320967
2009;04;0,00018790766687234997
2009;05;8,617254136711066e-05
2009;06;1,0828313901677873e-05
2009;07;7,662134271842806e-07
2009;08;4,222532541446462e-05
2009;09;5,208300943402094e-06
2009;10;0,0008458940511501573
2009;11;0,0006126505109720387
2009;12;0,0011389330729344462
2010;01;0,0021085051161547235
2010;02;0,0017610559852989933
2010;03;9,47931389805949e-05
2010;04;1,0980906466631059e-05
2010;05;1,6305021730481493e-05
2010;06;0,0001288082785554816
2010;07;7,355648900969096e-07
2010;08;1,0253328771047827e-06
2010;09;7,173290105299233e-05
2010;10;6,003212546222731e-05
2010;11;0,00243060665966929
2010;12;0,0021889101600881204
2011;01;0,0018647935216972362
2011;02;0,0022684149529986924
2011;03;0,0004182076472491132
2011;04;1,567672672019038e-05
2011;05;7,105166766045941e-05
2011;06;3,286498356491702e-05
2011;07;6,689739776979848e-06
2011;08;6,547642014120218e-06
2011;09;6,537295810994358e-05
2011;10;0,0009703828363377706
2011;11;0,0026816790111172605
2011;12;0,0009935085506855143
2012;01;0,002721982951879412
2012;02;6,188487276377236e-05
2012;03;0,0003060702225077106
2012;04;0,00036488337206305374
2012;05;0,00014480597904589613
2012;06;1,2172855936265366e-05
2012;07;2,2309348768961942e-05
2012;08;5,934671272372791e-07
2012;09;9,447495144101509e-05
2012;10;0,0017244455116822302
2012;11;0,0011719022615254608
2012;12;0,0014819654311695265
2013;01;0,0036951882398598636
2013;02;0,0007042403935535818
2013;03;0,00018095453542512832
2013;04;3,834967858823432e-06
2013;05;0,00014093869091159872
2013;06;5,63872714077004e-05
2013;07;2,635774189513925e-06
2013;08;7,634271965399739e-07
2013;09;0,0003447641863292264
2013;10;0,00011307359823788965
2013;11;0,001843565787664394
2013;12;0,0025789935952136036
2014;01;0,0031753472573983845
2014;02;0,00018154710697822988
2014;03;0,00013482012841670168
2014;04;0,00012915665026037474
2014;05;3,9990768437730834e-05
2014;06;1,5777495395159468e-06
2014;07;0,00035972187979447595
2014;08;2,877061763310865e-05
2014;09;4,944574925483003e-05
2014;10;0,0006446083907135244
2014;11;0,001932037805182251
2014;12;0,0028770004662366914
2015;01;0,001965075535047115
2015;02;0,0010314712417389018
2015;03;0,00039272756800693055
2015;04;1,0998181096625758e-06
2015;05;1,4237638592406088e-05
2015;06;7,312926697756395e-07
2015;07;7,077025836538446e-07
2015;08;3,948088822982274e-06
2015;09;0,000261411217499799
2015;10;0,001798461728748232
2015;11;0,002371179053382522
2015;12;0,0016061477309862664
2016;01;0,002053591296386087
2016;02;0,0007377011603857423
2016;03;0,00014675076803562201
2016;04;0,00020367940405751118
2016;05;0,0004829540749615071
2016;06;0,0004380212763556151
2016;07;1,5480297459766773e-05
2016;08;9,807531867958794e-07
2016;09;4,989488963469225e-06
2016;10;0,0003254066631791974
2016;11;0,0004952348508980621
2016;12;0,00419568720918857
2017;01;0,002094183890642989
2017;02;0,0010661747394961117
2017;03;0,00030997651787102823
2017;04;8,306217922451651e-06
2017;05;2,6469191120911504e-06
2017;06;0,00018102948502946015
2017;07;1,1228509496555096e-06
2017;08;8,241670245858554e-06
2017;09;3,8254668123263464e-05
2017;10;0,00032629268452408694
2017;11;0,0014705777350288267
2017;12;0,002781702745761378
